transaction_id,change_type,quantity_change,inventory_id,action_time
TX00037714,restock,3293,INV0355913,2024-04-01 00:00:00
TX00045335,restock,420,INV0049614,2024-04-01 00:00:00
TX00029116,restock,144,INV0223496,2024-04-01 00:00:00
TX00037722,restock,306,INV0318089,2024-04-01 00:00:00
TX00037723,restock,479,INV0082550,2024-04-01 00:00:00
TX00037726,restock,466,INV0026952,2024-04-01 00:00:00
TX00037706,restock,401,INV0379143,2024-04-01 00:00:00
TX00028606,restock,334,INV0241322,2024-04-01 00:00:00
TX00058213,restock,13,INV0062392,2024-04-01 00:00:00
TX00058207,restock,45,INV0203181,2024-04-01 00:00:00
TX00058187,restock,11,INV0279659,2024-04-01 00:00:00
TX00050092,restock,5,INV0351286,2024-04-01 00:00:00
TX00004444,restock,30,INV0008572,2024-04-01 00:00:00
TX00028943,restock,470,INV0031881,2024-04-01 00:00:00
TX00028940,restock,15,INV0145273,2024-04-01 00:00:00
TX00050121,restock,1050,INV0340441,2024-04-01 00:00:00
TX00012663,restock,38,INV0032968,2024-04-01 00:00:00
TX00012667,restock,41,INV0268945,2024-04-01 00:00:00
TX00012640,restock,94,INV0281025,2024-04-01 00:00:00
TX00012671,restock,1975,INV0011386,2024-04-01 00:00:00
TX00012681,restock,24,INV0137740,2024-04-01 00:00:00
TX00012697,restock,2182,INV0140381,2024-04-01 00:00:00
TX00037834,restock,37,INV0140697,2024-04-01 00:00:00
TX00037835,restock,403,INV0271468,2024-04-01 00:00:00
TX00064238,restock,48,INV0025628,2024-04-01 00:00:00
TX00050148,restock,30,INV0146813,2024-04-01 00:00:00
TX00004421,restock,249,INV0226963,2024-04-01 00:00:00
TX00012708,restock,189,INV0057246,2024-04-01 00:00:00
TX00064230,restock,28,INV0019670,2024-04-01 00:00:00
TX00037765,restock,316,INV0099364,2024-04-01 00:00:00
TX00037812,restock,3474,INV0195567,2024-04-01 00:00:00
TX00045253,restock,102,INV0142883,2024-04-01 00:00:00
TX00029026,restock,85,INV0336414,2024-04-01 00:00:00
TX00050019,restock,7,INV0200713,2024-04-01 00:00:00
TX00012592,restock,79,INV0303112,2024-04-01 00:00:00
TX00029011,restock,751,INV0210450,2024-04-01 00:00:00
TX00064202,restock,45,INV0141915,2024-04-01 00:00:00
TX00050050,restock,159,INV0034983,2024-04-01 00:00:00
TX00050054,restock,204,INV0117834,2024-04-01 00:00:00
TX00004472,restock,243,INV0081048,2024-04-01 00:00:00
TX00050075,restock,340,INV0354109,2024-04-01 00:00:00
TX00064206,restock,12,INV0092066,2024-04-01 00:00:00
TX00064209,restock,2167,INV0093910,2024-04-01 00:00:00
TX00045256,restock,230,INV0329328,2024-04-01 00:00:00
TX00037796,restock,3446,INV0230704,2024-04-01 00:00:00
TX00028978,restock,132,INV0296754,2024-04-01 00:00:00
TX00012624,restock,13,INV0047554,2024-04-01 00:00:00
TX00050065,restock,72,INV0302874,2024-04-01 00:00:00
TX00050066,restock,165,INV0347478,2024-04-01 00:00:00
TX00058189,restock,14,INV0328333,2024-04-01 00:00:00
TX00028980,restock,30,INV0326778,2024-04-01 00:00:00
TX00012973,restock,14,INV0291784,2024-04-01 00:00:00
TX00012974,restock,120,INV0082274,2024-04-01 00:00:00
TX00012979,restock,382,INV0311053,2024-04-01 00:00:00
TX00028242,restock,392,INV0069432,2024-04-01 00:00:00
TX00050487,restock,280,INV0086654,2024-04-01 00:00:00
TX00013336,restock,1,INV0310257,2024-04-01 00:00:00
TX00013337,restock,208,INV0085667,2024-04-01 00:00:00
TX00028219,restock,61,INV0225646,2024-04-01 00:00:00
TX00050497,restock,108,INV0200933,2024-04-01 00:00:00
TX00064565,restock,155,INV0284029,2024-04-01 00:00:00
TX00045094,restock,211,INV0020116,2024-04-01 00:00:00
TX00013323,restock,21,INV0362541,2024-04-01 00:00:00
TX00050500,restock,5,INV0103944,2024-04-01 00:00:00
TX00050509,restock,1,INV0141146,2024-04-01 00:00:00
TX00045075,restock,7,INV0002644,2024-04-01 00:00:00
TX00004066,restock,59,INV0017238,2024-04-01 00:00:00
TX00050525,restock,16,INV0099416,2024-04-01 00:00:00
TX00064574,restock,300,INV0033491,2024-04-01 00:00:00
TX00057923,restock,31,INV0285313,2024-04-01 00:00:00
TX00028162,restock,10,INV0077071,2024-04-01 00:00:00
TX00013403,restock,16,INV0049925,2024-04-01 00:00:00
TX00064568,restock,2,INV0029993,2024-04-01 00:00:00
TX00013404,restock,1503,INV0034079,2024-04-01 00:00:00
TX00004091,restock,264,INV0246192,2024-04-01 00:00:00
TX00050464,restock,43,INV0121647,2024-04-01 00:00:00
TX00028314,restock,404,INV0049241,2024-04-01 00:00:00
TX00013260,restock,28,INV0221583,2024-04-01 00:00:00
TX00013266,restock,209,INV0120254,2024-04-01 00:00:00
TX00064525,restock,20,INV0278060,2024-04-01 00:00:00
TX00045121,restock,30,INV0270548,2024-04-01 00:00:00
TX00013276,restock,34,INV0052165,2024-04-01 00:00:00
TX00013277,restock,479,INV0120615,2024-04-01 00:00:00
TX00013282,restock,40,INV0358440,2024-04-01 00:00:00
TX00028261,restock,151,INV0216165,2024-04-01 00:00:00
TX00045117,restock,41,INV0017759,2024-04-01 00:00:00
TX00045115,restock,37,INV0290516,2024-04-01 00:00:00
TX00038150,restock,185,INV0148171,2024-04-01 00:00:00
TX00057952,restock,157,INV0205714,2024-04-01 00:00:00
TX00057950,restock,240,INV0254306,2024-04-01 00:00:00
TX00028279,restock,89,INV0157738,2024-04-01 00:00:00
TX00038158,restock,324,INV0008752,2024-04-01 00:00:00
TX00013296,restock,4497,INV0360127,2024-04-01 00:00:00
TX00050450,restock,498,INV0026944,2024-04-01 00:00:00
TX00028281,restock,350,INV0364956,2024-04-01 00:00:00
TX00013258,restock,291,INV0019108,2024-04-01 00:00:00
TX00050553,restock,1478,INV0342028,2024-04-01 00:00:00
TX00045064,restock,314,INV0377800,2024-04-01 00:00:00
TX00028051,restock,250,INV0108816,2024-04-01 00:00:00
TX00028047,restock,32,INV0177213,2024-04-01 00:00:00
TX00028045,restock,26,INV0078221,2024-04-01 00:00:00
TX00064651,restock,252,INV0050821,2024-04-01 00:00:00
TX00038283,restock,306,INV0244989,2024-04-01 00:00:00
TX00050600,restock,30,INV0281668,2024-04-01 00:00:00
TX00038289,restock,11,INV0000751,2024-04-01 00:00:00
TX00038294,restock,2959,INV0146319,2024-04-01 00:00:00
TX00013492,restock,2460,INV0000944,2024-04-01 00:00:00
TX00038297,restock,37,INV0238776,2024-04-01 00:00:00
TX00045021,restock,1888,INV0340113,2024-04-01 00:00:00
TX00013521,restock,43,INV0162061,2024-04-01 00:00:00
TX00064662,restock,408,INV0364195,2024-04-01 00:00:00
TX00057891,restock,22,INV0343289,2024-04-01 00:00:00
TX00028023,restock,166,INV0123058,2024-04-01 00:00:00
TX00038313,restock,180,INV0200191,2024-04-01 00:00:00
TX00038314,restock,39,INV0021076,2024-04-01 00:00:00
TX00028022,restock,47,INV0302938,2024-04-01 00:00:00
TX00028029,restock,34,INV0198123,2024-04-01 00:00:00
TX00050555,restock,4155,INV0360367,2024-04-01 00:00:00
TX00038269,restock,42,INV0333974,2024-04-01 00:00:00
TX00038265,restock,6,INV0146628,2024-04-01 00:00:00
TX00013412,restock,36,INV0187471,2024-04-01 00:00:00
TX00013417,restock,10,INV0332896,2024-04-01 00:00:00
TX00064586,restock,254,INV0026767,2024-04-01 00:00:00
TX00013425,restock,19,INV0130664,2024-04-01 00:00:00
TX00004040,restock,228,INV0020696,2024-04-01 00:00:00
TX00038245,restock,6,INV0031272,2024-04-01 00:00:00
TX00013437,restock,419,INV0041639,2024-04-01 00:00:00
TX00028110,restock,298,INV0074716,2024-04-01 00:00:00
TX00028065,restock,18,INV0252308,2024-04-01 00:00:00
TX00028104,restock,292,INV0146994,2024-04-01 00:00:00
TX00013462,restock,42,INV0204525,2024-04-01 00:00:00
TX00028083,restock,8,INV0176635,2024-04-01 00:00:00
TX00045036,restock,21,INV0076768,2024-04-01 00:00:00
TX00013467,restock,352,INV0081285,2024-04-01 00:00:00
TX00028082,restock,63,INV0176357,2024-04-01 00:00:00
TX00064627,restock,470,INV0263502,2024-04-01 00:00:00
TX00057902,restock,421,INV0180506,2024-04-01 00:00:00
TX00064632,restock,2462,INV0279629,2024-04-01 00:00:00
TX00038248,restock,91,INV0226110,2024-04-01 00:00:00
TX00029167,restock,26,INV0041252,2024-04-01 00:00:00
TX00064522,restock,205,INV0349978,2024-04-01 00:00:00
TX00057965,restock,16,INV0130095,2024-04-01 00:00:00
TX00013045,restock,259,INV0289745,2024-04-01 00:00:00
TX00013049,restock,33,INV0122226,2024-04-01 00:00:00
TX00028516,restock,202,INV0090521,2024-04-01 00:00:00
TX00028511,restock,4722,INV0383629,2024-04-01 00:00:00
TX00064435,restock,1677,INV0201698,2024-04-01 00:00:00
TX00013071,restock,39,INV0242095,2024-04-01 00:00:00
TX00050359,restock,5,INV0022148,2024-04-01 00:00:00
TX00058050,restock,2252,INV0296128,2024-04-01 00:00:00
TX00028538,restock,44,INV0382169,2024-04-01 00:00:00
TX00038042,restock,22,INV0021284,2024-04-01 00:00:00
TX00013080,restock,8,INV0128538,2024-04-01 00:00:00
TX00004213,restock,309,INV0064534,2024-04-01 00:00:00
TX00038046,restock,16,INV0356773,2024-04-01 00:00:00
TX00004209,restock,146,INV0033840,2024-04-01 00:00:00
TX00028484,restock,33,INV0263983,2024-04-01 00:00:00
TX00013100,restock,68,INV0284470,2024-04-01 00:00:00
TX00050365,restock,117,INV0094382,2024-04-01 00:00:00
TX00004203,restock,35,INV0027720,2024-04-01 00:00:00
TX00013078,restock,4107,INV0153081,2024-04-01 00:00:00
TX00013108,restock,70,INV0220199,2024-04-01 00:00:00
TX00013041,restock,367,INV0173364,2024-04-01 00:00:00
TX00004235,restock,2078,INV0091953,2024-04-01 00:00:00
TX00050300,restock,22,INV0008974,2024-04-01 00:00:00
TX00038006,restock,58,INV0107487,2024-04-01 00:00:00
TX00004260,restock,4392,INV0273073,2024-04-01 00:00:00
TX00028573,restock,36,INV0354377,2024-04-01 00:00:00
TX00013019,restock,44,INV0371819,2024-04-01 00:00:00
TX00064422,restock,979,INV0193768,2024-04-01 00:00:00
TX00028555,restock,191,INV0174462,2024-04-01 00:00:00
TX00004247,restock,71,INV0288622,2024-04-01 00:00:00
TX00028543,restock,142,INV0299410,2024-04-01 00:00:00
TX00004246,restock,487,INV0361858,2024-04-01 00:00:00
TX00004244,restock,816,INV0061921,2024-04-01 00:00:00
TX00013025,restock,189,INV0384699,2024-04-01 00:00:00
TX00028553,restock,8,INV0102098,2024-04-01 00:00:00
TX00038020,restock,258,INV0072060,2024-04-01 00:00:00
TX00013031,restock,21,INV0352154,2024-04-01 00:00:00
TX00013032,restock,251,INV0165978,2024-04-01 00:00:00
TX00013034,restock,20,INV0343032,2024-04-01 00:00:00
TX00050332,restock,451,INV0297574,2024-04-01 00:00:00
TX00045171,restock,18,INV0232603,2024-04-01 00:00:00
TX00013257,restock,452,INV0122218,2024-04-01 00:00:00
TX00013116,restock,2583,INV0006099,2024-04-01 00:00:00
TX00013128,restock,3,INV0102009,2024-04-01 00:00:00
TX00013197,restock,40,INV0280233,2024-04-01 00:00:00
TX00013199,restock,48,INV0176252,2024-04-01 00:00:00
TX00013200,restock,278,INV0146589,2024-04-01 00:00:00
TX00004155,restock,173,INV0054824,2024-04-01 00:00:00
TX00038103,restock,97,INV0107594,2024-04-01 00:00:00
TX00028364,restock,15,INV0039175,2024-04-01 00:00:00
TX00038104,restock,88,INV0334324,2024-04-01 00:00:00
TX00045126,restock,35,INV0107496,2024-04-01 00:00:00
TX00028377,restock,61,INV0146498,2024-04-01 00:00:00
TX00058002,restock,471,INV0032757,2024-04-01 00:00:00
TX00050414,restock,3615,INV0063066,2024-04-01 00:00:00
TX00038114,restock,121,INV0232030,2024-04-01 00:00:00
TX00057987,restock,103,INV0130517,2024-04-01 00:00:00
TX00013230,restock,155,INV0033091,2024-04-01 00:00:00
TX00050420,restock,344,INV0050730,2024-04-01 00:00:00
TX00064512,restock,26,INV0019102,2024-04-01 00:00:00
TX00045125,restock,62,INV0147340,2024-04-01 00:00:00
TX00050421,restock,4114,INV0015331,2024-04-01 00:00:00
TX00064507,restock,368,INV0227468,2024-04-01 00:00:00
TX00028463,restock,300,INV0086282,2024-04-01 00:00:00
TX00064490,restock,4609,INV0009929,2024-04-01 00:00:00
TX00038092,restock,150,INV0226494,2024-04-01 00:00:00
TX00028446,restock,416,INV0199563,2024-04-01 00:00:00
TX00013154,restock,3411,INV0033151,2024-04-01 00:00:00
TX00013155,restock,117,INV0154185,2024-04-01 00:00:00
TX00013158,restock,336,INV0154241,2024-04-01 00:00:00
TX00028419,restock,278,INV0132187,2024-04-01 00:00:00
TX00050382,restock,54,INV0319107,2024-04-01 00:00:00
TX00050383,restock,15,INV0055547,2024-04-01 00:00:00
TX00028412,restock,18,INV0022031,2024-04-01 00:00:00
TX00013192,restock,674,INV0318913,2024-04-01 00:00:00
TX00028401,restock,45,INV0182263,2024-04-01 00:00:00
TX00028396,restock,403,INV0101050,2024-04-01 00:00:00
TX00064478,restock,12,INV0383178,2024-04-01 00:00:00
TX00058015,restock,1,INV0169561,2024-04-01 00:00:00
TX00064482,restock,50,INV0223069,2024-04-01 00:00:00
TX00045140,restock,4603,INV0207207,2024-04-01 00:00:00
TX00028381,restock,60,INV0295042,2024-04-01 00:00:00
TX00064486,restock,18,INV0111624,2024-04-01 00:00:00
TX00013191,restock,351,INV0025169,2024-04-01 00:00:00
TX00058018,restock,28,INV0383053,2024-04-01 00:00:00
TX00028016,restock,37,INV0195929,2024-04-01 00:00:00
TX00029171,restock,89,INV0372908,2024-04-01 00:00:00
TX00012439,restock,28,INV0379559,2024-04-01 00:00:00
TX00058576,restock,2,INV0253952,2024-04-01 00:00:00
TX00011658,restock,186,INV0020154,2024-04-01 00:00:00
TX00011668,restock,198,INV0003524,2024-04-01 00:00:00
TX00029998,restock,31,INV0196879,2024-04-01 00:00:00
TX00037236,restock,16,INV0049343,2024-04-01 00:00:00
TX00011679,restock,14,INV0132521,2024-04-01 00:00:00
TX00011691,restock,354,INV0010150,2024-04-01 00:00:00
TX00063777,restock,10,INV0001824,2024-04-01 00:00:00
TX00037253,restock,2470,INV0185973,2024-04-01 00:00:00
TX00011702,restock,10,INV0085506,2024-04-01 00:00:00
TX00011708,restock,338,INV0030389,2024-04-01 00:00:00
TX00049528,restock,399,INV0359583,2024-04-01 00:00:00
TX00029940,restock,497,INV0085614,2024-04-01 00:00:00
TX00045584,restock,139,INV0096237,2024-04-01 00:00:00
TX00037260,restock,424,INV0204427,2024-04-01 00:00:00
TX00011722,restock,395,INV0010275,2024-04-01 00:00:00
TX00063791,restock,2369,INV0018868,2024-04-01 00:00:00
TX00037226,restock,9,INV0037922,2024-04-01 00:00:00
TX00004959,restock,208,INV0262905,2024-04-01 00:00:00
TX00037225,restock,26,INV0018752,2024-04-01 00:00:00
TX00063758,restock,4634,INV0049358,2024-04-01 00:00:00
TX00037182,restock,43,INV0371783,2024-04-01 00:00:00
TX00037184,restock,253,INV0057584,2024-04-01 00:00:00
TX00011618,restock,318,INV0219884,2024-04-01 00:00:00
TX00030055,restock,109,INV0153530,2024-04-01 00:00:00
TX00030047,restock,46,INV0369432,2024-04-01 00:00:00
TX00030046,restock,39,INV0159095,2024-04-01 00:00:00
TX00063733,restock,45,INV0113378,2024-04-01 00:00:00
TX00011629,restock,2434,INV0271326,2024-04-01 00:00:00
TX00045581,restock,383,INV0065905,2024-04-01 00:00:00
TX00030043,restock,900,INV0310810,2024-04-01 00:00:00
TX00037198,restock,35,INV0043793,2024-04-01 00:00:00
TX00063738,restock,298,INV0355126,2024-04-01 00:00:00
TX00030035,restock,312,INV0029609,2024-04-01 00:00:00
TX00063745,restock,130,INV0105657,2024-04-01 00:00:00
TX00011642,restock,157,INV0086477,2024-04-01 00:00:00
TX00030027,restock,2399,INV0136191,2024-04-01 00:00:00
TX00037211,restock,253,INV0201388,2024-04-01 00:00:00
TX00037215,restock,31,INV0231781,2024-04-01 00:00:00
TX00004976,restock,13,INV0302446,2024-04-01 00:00:00
TX00037277,restock,422,INV0021304,2024-04-01 00:00:00
TX00004922,restock,53,INV0132005,2024-04-01 00:00:00
TX00011728,restock,2162,INV0299212,2024-04-01 00:00:00
TX00011797,restock,3323,INV0094985,2024-04-01 00:00:00
TX00029868,restock,103,INV0213864,2024-04-01 00:00:00
TX00058542,restock,7,INV0107672,2024-04-01 00:00:00
TX00029858,restock,404,INV0198493,2024-04-01 00:00:00
TX00049560,restock,2421,INV0089768,2024-04-01 00:00:00
TX00011808,restock,277,INV0375047,2024-04-01 00:00:00
TX00058539,restock,1891,INV0190618,2024-04-01 00:00:00
TX00029853,restock,3275,INV0020103,2024-04-01 00:00:00
TX00063823,restock,247,INV0381793,2024-04-01 00:00:00
TX00011813,restock,250,INV0089847,2024-04-01 00:00:00
TX00058538,restock,134,INV0139605,2024-04-01 00:00:00
TX00029844,restock,32,INV0325297,2024-04-01 00:00:00
TX00011834,restock,1282,INV0194406,2024-04-01 00:00:00
TX00037345,restock,3218,INV0198219,2024-04-01 00:00:00
TX00063853,restock,25,INV0087111,2024-04-01 00:00:00
TX00004863,restock,144,INV0124138,2024-04-01 00:00:00
TX00011836,restock,168,INV0014662,2024-04-01 00:00:00
TX00045540,restock,34,INV0015187,2024-04-01 00:00:00
TX00011816,restock,5,INV0073490,2024-04-01 00:00:00
TX00058590,restock,58,INV0249887,2024-04-01 00:00:00
TX00063820,restock,3506,INV0009010,2024-04-01 00:00:00
TX00011788,restock,45,INV0153425,2024-04-01 00:00:00
TX00029928,restock,66,INV0093205,2024-04-01 00:00:00
TX00011733,restock,25,INV0302094,2024-04-01 00:00:00
TX00029926,restock,23,INV0199791,2024-04-01 00:00:00
TX00011740,restock,2,INV0009357,2024-04-01 00:00:00
TX00011749,restock,267,INV0287237,2024-04-01 00:00:00
TX00029912,restock,2275,INV0019342,2024-04-01 00:00:00
TX00037299,restock,408,INV0040016,2024-04-01 00:00:00
TX00049542,restock,207,INV0107069,2024-04-01 00:00:00
TX00049553,restock,142,INV0361764,2024-04-01 00:00:00
TX00049544,restock,473,INV0325646,2024-04-01 00:00:00
TX00029892,restock,194,INV0171241,2024-04-01 00:00:00
TX00049549,restock,28,INV0025124,2024-04-01 00:00:00
TX00004900,restock,187,INV0191103,2024-04-01 00:00:00
TX00029889,restock,4905,INV0076095,2024-04-01 00:00:00
TX00011778,restock,115,INV0223816,2024-04-01 00:00:00
TX00037304,restock,4167,INV0006868,2024-04-01 00:00:00
TX00058549,restock,17,INV0239824,2024-04-01 00:00:00
TX00037308,restock,18,INV0243128,2024-04-01 00:00:00
TX00063807,restock,689,INV0002629,2024-04-01 00:00:00
TX00045625,restock,387,INV0043412,2024-04-01 00:00:00
TX00030063,restock,288,INV0294902,2024-04-01 00:00:00
TX00037171,restock,447,INV0148751,2024-04-01 00:00:00
TX00063653,restock,715,INV0195779,2024-04-01 00:00:00
TX00045699,restock,27,INV0001526,2024-04-01 00:00:00
TX00037060,restock,44,INV0006051,2024-04-01 00:00:00
TX00063655,restock,12,INV0196194,2024-04-01 00:00:00
TX00005079,restock,160,INV0067202,2024-04-01 00:00:00
TX00030254,restock,1,INV0298217,2024-04-01 00:00:00
TX00011465,restock,382,INV0048983,2024-04-01 00:00:00
TX00063657,restock,16,INV0199940,2024-04-01 00:00:00
TX00030257,restock,336,INV0374145,2024-04-01 00:00:00
TX00049355,restock,1348,INV0379519,2024-04-01 00:00:00
TX00011475,restock,2471,INV0202753,2024-04-01 00:00:00
TX00011476,restock,6,INV0181632,2024-04-01 00:00:00
TX00058654,restock,152,INV0022223,2024-04-01 00:00:00
TX00030196,restock,401,INV0210869,2024-04-01 00:00:00
TX00049385,restock,39,INV0000148,2024-04-01 00:00:00
TX00030187,restock,21,INV0118288,2024-04-01 00:00:00
TX00045691,restock,151,INV0366913,2024-04-01 00:00:00
TX00030183,restock,50,INV0041782,2024-04-01 00:00:00
TX00049365,restock,19,INV0122262,2024-04-01 00:00:00
TX00030174,restock,421,INV0122721,2024-04-01 00:00:00
TX00063651,restock,19,INV0094693,2024-04-01 00:00:00
TX00011442,restock,1953,INV0087259,2024-04-01 00:00:00
TX00005121,restock,34,INV0368323,2024-04-01 00:00:00
