product_id,category_id
P0000182,CAT0021
P0000184,CAT0001
P0000184,CAT0021
P0000186,CAT0001
P0000186,CAT0021
P0000187,CAT0001
P0000187,CAT0021
P0000188,CAT0001
P0000188,CAT0021
P0000190,CAT0001
P0000190,CAT0021
P0000191,CAT0001
P0000191,CAT0021
P0000192,CAT0001
P0000192,CAT0021
P0000193,CAT0001
P0000193,CAT0021
P0000194,CAT0001
P0000194,CAT0021
P0000195,CAT0001
P0000195,CAT0021
P0000196,CAT0001
P0000196,CAT0021
P0000197,CAT0001
P0000197,CAT0021
P0000198,CAT0001
P0000198,CAT0021
P0000204,CAT0001
P0000204,CAT0021
P0000205,CAT0001
P0000205,CAT0021
P0000207,CAT0001
P0000207,CAT0021
P0000208,CAT0001
P0000208,CAT0021
P0000211,CAT0001
P0000211,CAT0021
P0000212,CAT0001
P0000212,CAT0021
P0000213,CAT0001
P0000213,CAT0021
P0000214,CAT0001
P0000214,CAT0021
P0000215,CAT0001
P0000215,CAT0021
P0000216,CAT0001
P0000216,CAT0021
P0000217,CAT0001
P0000217,CAT0021
P0000218,CAT0001
P0000218,CAT0021
P0000219,CAT0001
P0000219,CAT0021
P0000220,CAT0001
P0000220,CAT0021
P0000221,CAT0001
P0000221,CAT0021
P0000222,CAT0001
P0000222,CAT0021
P0000223,CAT0001
P0000223,CAT0021
P0000224,CAT0001
P0000224,CAT0021
P0000225,CAT0001
P0000225,CAT0021
P0000226,CAT0001
P0000226,CAT0021
P0000228,CAT0001
P0000228,CAT0021
P0000229,CAT0001
P0000229,CAT0021
P0000231,CAT0001
P0000231,CAT0021
P0000232,CAT0001
P0000232,CAT0021
P0000233,CAT0001
P0000233,CAT0021
P0000235,CAT0001
P0000235,CAT0021
P0000236,CAT0001
P0000236,CAT0021
P0000237,CAT0001
P0000237,CAT0021
P0000238,CAT0001
P0000238,CAT0021
P0000243,CAT0001
P0000243,CAT0021
P0000244,CAT0001
P0000244,CAT0021
P0000245,CAT0001
P0000245,CAT0021
P0000247,CAT0001
P0000247,CAT0021
P0000251,CAT0001
P0000251,CAT0021
P0000252,CAT0001
P0000252,CAT0021
P0000254,CAT0001
P0000254,CAT0021
P0000255,CAT0001
P0000255,CAT0021
P0000259,CAT0001
P0000259,CAT0021
P0000261,CAT0001
P0000261,CAT0021
P0000262,CAT0001
P0000262,CAT0021
P0000264,CAT0001
P0000264,CAT0021
P0000272,CAT0001
P0000272,CAT0021
P0000275,CAT0001
P0000275,CAT0021
P0000276,CAT0001
P0000276,CAT0021
P0000277,CAT0001
P0000277,CAT0021
P0000280,CAT0001
P0000280,CAT0021
P0000282,CAT0001
P0000282,CAT0021
P0000284,CAT0001
P0000284,CAT0021
P0000285,CAT0001
P0000285,CAT0021
P0000288,CAT0001
P0000288,CAT0021
P0000291,CAT0001
P0000291,CAT0021
P0000292,CAT0001
P0000292,CAT0021
P0000294,CAT0001
P0000294,CAT0021
P0000296,CAT0001
P0000296,CAT0021
P0000298,CAT0001
P0000298,CAT0021
P0000299,CAT0001
P0000299,CAT0021
P0000300,CAT0001
P0000300,CAT0021
P0000301,CAT0001
P0000301,CAT0021
P0000302,CAT0001
P0000302,CAT0021
P0000307,CAT0001
P0000307,CAT0021
P0000308,CAT0001
P0000308,CAT0021
P0000309,CAT0001
P0000309,CAT0021
P0000310,CAT0001
P0000310,CAT0021
P0000311,CAT0001
P0000311,CAT0021
P0000312,CAT0001
P0000312,CAT0021
P0000314,CAT0001
P0000314,CAT0021
P0000315,CAT0001
P0000315,CAT0021
P0000316,CAT0001
P0000316,CAT0021
P0000319,CAT0001
P0000319,CAT0021
P0000325,CAT0001
P0000325,CAT0021
P0000326,CAT0001
P0000326,CAT0021
P0000328,CAT0001
P0000328,CAT0021
P0000329,CAT0001
P0000329,CAT0021
P0000330,CAT0001
P0000330,CAT0021
P0000331,CAT0001
P0000331,CAT0021
P0000333,CAT0001
P0000333,CAT0021
P0000334,CAT0001
P0000334,CAT0021
P0000336,CAT0001
P0000336,CAT0021
P0000338,CAT0001
P0000338,CAT0021
P0000339,CAT0001
P0000339,CAT0021
P0000340,CAT0001
P0000340,CAT0021
P0000343,CAT0001
P0000343,CAT0021
P0000345,CAT0001
P0000345,CAT0021
P0000346,CAT0001
P0000346,CAT0021
P0000350,CAT0001
P0000350,CAT0021
P0000355,CAT0001
P0000355,CAT0021
P0000356,CAT0001
P0000356,CAT0021
P0000358,CAT0001
P0000358,CAT0021
P0000359,CAT0001
P0000359,CAT0021
P0000363,CAT0001
P0000363,CAT0021
P0000364,CAT0001
P0000364,CAT0021
P0000366,CAT0001
P0000366,CAT0021
P0000367,CAT0001
P0000367,CAT0021
P0000369,CAT0001
P0000369,CAT0021
P0000374,CAT0001
P0000374,CAT0021
P0000377,CAT0001
P0000377,CAT0021
P0000378,CAT0001
P0000378,CAT0021
P0000384,CAT0001
P0000384,CAT0021
P0000385,CAT0001
P0000385,CAT0021
P0000386,CAT0001
P0000386,CAT0021
P0000389,CAT0001
P0000389,CAT0021
P0000392,CAT0001
P0000392,CAT0021
P0000393,CAT0001
P0000393,CAT0021
P0000395,CAT0001
P0000395,CAT0021
P0000396,CAT0001
P0000396,CAT0021
P0000397,CAT0001
P0000397,CAT0021
P0000401,CAT0001
P0000401,CAT0021
P0000402,CAT0001
P0000402,CAT0021
P0000403,CAT0001
P0000403,CAT0021
P0000406,CAT0001
P0000406,CAT0021
P0000408,CAT0001
P0000408,CAT0021
P0000410,CAT0001
P0000410,CAT0021
P0000412,CAT0001
P0000412,CAT0021
P0000415,CAT0001
P0000415,CAT0021
P0000417,CAT0001
P0000417,CAT0021
P0000418,CAT0001
P0000418,CAT0021
P0000420,CAT0001
P0000420,CAT0021
P0000425,CAT0001
P0000425,CAT0021
P0000426,CAT0001
P0000426,CAT0021
P0000428,CAT0001
P0000428,CAT0021
P0000430,CAT0001
P0000430,CAT0021
P0000431,CAT0001
P0000431,CAT0021
P0000434,CAT0001
P0000434,CAT0021
P0000436,CAT0001
P0000436,CAT0021
P0000440,CAT0001
P0000440,CAT0021
P0000441,CAT0001
P0000441,CAT0021
P0000444,CAT0001
P0000444,CAT0021
P0000445,CAT0001
P0000445,CAT0021
P0000447,CAT0001
P0000447,CAT0021
P0000451,CAT0001
P0000451,CAT0021
P0000453,CAT0001
P0000453,CAT0021
P0000454,CAT0001
P0000454,CAT0021
P0000455,CAT0001
P0000455,CAT0021
P0000456,CAT0001
P0000456,CAT0021
P0000461,CAT0001
P0000461,CAT0021
P0000462,CAT0001
P0000462,CAT0021
P0000464,CAT0001
P0000464,CAT0021
P0000468,CAT0001
P0000468,CAT0021
P0000469,CAT0001
P0000469,CAT0021
P0000471,CAT0001
P0000471,CAT0021
P0000473,CAT0001
P0000473,CAT0021
P0000475,CAT0001
P0000475,CAT0021
P0000476,CAT0001
P0000476,CAT0021
P0000483,CAT0001
P0000483,CAT0021
P0000484,CAT0001
P0000484,CAT0021
P0000485,CAT0001
P0000485,CAT0021
P0000491,CAT0001
P0000491,CAT0022
P0000492,CAT0001
P0000492,CAT0022
P0000493,CAT0001
P0000493,CAT0022
P0000495,CAT0001
P0000495,CAT0022
P0000496,CAT0001
P0000496,CAT0022
P0000497,CAT0001
P0000497,CAT0022
P0000503,CAT0001
P0000503,CAT0022
P0000508,CAT0001
P0000508,CAT0022
P0000510,CAT0001
P0000510,CAT0022
P0000511,CAT0001
P0000511,CAT0022
P0000513,CAT0001
P0000513,CAT0022
P0000515,CAT0001
P0000515,CAT0022
P0000516,CAT0001
P0000516,CAT0022
P0000523,CAT0001
P0000523,CAT0022
P0000528,CAT0001
P0000528,CAT0022
P0000530,CAT0001
P0000530,CAT0022
P0000533,CAT0001
P0000533,CAT0022
P0000537,CAT0001
P0000537,CAT0022
P0000540,CAT0001
P0000540,CAT0022
P0000541,CAT0001
P0000541,CAT0022
P0000542,CAT0001
P0000542,CAT0022
P0000543,CAT0001
P0000543,CAT0022
P0000546,CAT0001
P0000546,CAT0022
P0000547,CAT0001
P0000547,CAT0022
P0000550,CAT0001
P0000550,CAT0022
P0000554,CAT0001
P0000554,CAT0022
P0000560,CAT0001
P0000560,CAT0022
P0000561,CAT0001
P0000561,CAT0022
P0000562,CAT0001
P0000562,CAT0022
P0000563,CAT0001
P0000563,CAT0022
P0000568,CAT0001
P0000568,CAT0022
P0000576,CAT0001
P0000576,CAT0022
P0000581,CAT0001
P0000581,CAT0022
P0000585,CAT0001
P0000585,CAT0022
P0000589,CAT0001
P0000589,CAT0022
P0000592,CAT0001
P0000592,CAT0022
P0000594,CAT0001
P0000594,CAT0022
P0000595,CAT0001
P0000595,CAT0022
P0000596,CAT0001
P0000596,CAT0022
P0000597,CAT0001
P0000597,CAT0022
P0000602,CAT0001
P0000602,CAT0022
P0000606,CAT0001
P0000606,CAT0022
P0000609,CAT0001
P0000609,CAT0022
P0000617,CAT0001
P0000617,CAT0022
P0000619,CAT0001
P0000619,CAT0022
P0000620,CAT0001
P0000620,CAT0022
P0000622,CAT0001
P0000622,CAT0022
P0000624,CAT0001
P0000624,CAT0022
P0000626,CAT0001
P0000626,CAT0022
P0000629,CAT0001
P0000629,CAT0022
P0000630,CAT0001
P0000630,CAT0022
P0000639,CAT0001
P0000639,CAT0022
P0000648,CAT0001
P0000648,CAT0022
P0000654,CAT0001
P0000654,CAT0022
P0000657,CAT0001
P0000657,CAT0022
P0000658,CAT0001
P0000658,CAT0022
P0000659,CAT0001
P0000659,CAT0022
P0000660,CAT0001
P0000660,CAT0022
P0000661,CAT0001
P0000661,CAT0022
P0000675,CAT0001
P0000675,CAT0022
P0000677,CAT0001
P0000677,CAT0022
P0000678,CAT0001
P0000678,CAT0022
P0000679,CAT0001
P0000679,CAT0022
P0000682,CAT0001
P0000682,CAT0022
P0000683,CAT0001
P0000683,CAT0022
P0000685,CAT0001
P0000685,CAT0022
P0000687,CAT0001
P0000687,CAT0022
P0000688,CAT0001
P0000688,CAT0022
P0000692,CAT0001
P0000692,CAT0022
P0000703,CAT0001
P0000703,CAT0022
P0000704,CAT0001
P0000704,CAT0022
P0000709,CAT0001
P0000709,CAT0022
P0000722,CAT0001
P0000722,CAT0022
P0000729,CAT0001
P0000729,CAT0022
P0000732,CAT0001
P0000732,CAT0022
P0000733,CAT0001
P0000733,CAT0022
P0000735,CAT0001
P0000735,CAT0022
P0000737,CAT0001
P0000737,CAT0022
P0000744,CAT0001
P0000744,CAT0022
P0000751,CAT0001
P0000751,CAT0022
P0000752,CAT0001
P0000752,CAT0022
P0000754,CAT0001
P0000754,CAT0022
P0000756,CAT0001
P0000756,CAT0022
P0000766,CAT0001
P0000766,CAT0022
P0000770,CAT0001
P0000770,CAT0022
P0000772,CAT0001
P0000772,CAT0022
P0000776,CAT0001
P0000776,CAT0022
P0000778,CAT0001
P0000778,CAT0022
P0000780,CAT0001
P0000780,CAT0022
P0000786,CAT0001
P0000786,CAT0022
P0000788,CAT0001
P0000788,CAT0022
P0000789,CAT0001
P0000789,CAT0022
P0000794,CAT0001
P0000794,CAT0022
P0000803,CAT0001
P0000803,CAT0022
P0000804,CAT0001
P0000804,CAT0022
P0000805,CAT0001
P0000805,CAT0022
P0000814,CAT0001
P0000814,CAT0022
P0000815,CAT0001
P0000815,CAT0022
P0000822,CAT0001
P0000822,CAT0022
P0000826,CAT0001
P0000826,CAT0022
P0000830,CAT0001
P0000830,CAT0022
P0000831,CAT0001
P0000831,CAT0022
P0000835,CAT0001
P0000835,CAT0022
P0000837,CAT0001
P0000837,CAT0022
P0000840,CAT0001
P0000840,CAT0022
P0000841,CAT0001
P0000841,CAT0022
P0000845,CAT0001
P0000845,CAT0022
P0000850,CAT0001
P0000850,CAT0022
P0000856,CAT0001
P0000856,CAT0022
P0000869,CAT0001
P0000869,CAT0022
P0000870,CAT0001
P0000870,CAT0022
P0000882,CAT0001
P0000882,CAT0022
P0000889,CAT0001
P0000889,CAT0022
P0000893,CAT0001
P0000893,CAT0022
P0000901,CAT0001
P0000901,CAT0022
P0000908,CAT0001
P0000908,CAT0022
P0000909,CAT0001
P0000909,CAT0022
P0000910,CAT0001
P0000910,CAT0022
P0000913,CAT0001
P0000913,CAT0022
P0000927,CAT0001
P0000927,CAT0022
P0000928,CAT0001
P0000928,CAT0022
P0000933,CAT0001
P0000933,CAT0022
P0000936,CAT0001
P0000936,CAT0022
P0000938,CAT0001
P0000938,CAT0022
P0000941,CAT0001
P0000941,CAT0022
P0000944,CAT0001
P0000944,CAT0022
P0000950,CAT0001
P0000950,CAT0022
P0000954,CAT0001
P0000954,CAT0022
P0000955,CAT0001
P0000955,CAT0022
P0000960,CAT0001
P0000960,CAT0022
P0000976,CAT0001
P0000976,CAT0022
P0000982,CAT0001
P0000982,CAT0022
P0000984,CAT0001
P0000984,CAT0022
P0000999,CAT0001
P0000999,CAT0022
P0001004,CAT0001
P0001004,CAT0022
P0001005,CAT0001
P0001005,CAT0022
P0001022,CAT0001
P0001022,CAT0022
P0001047,CAT0001
P0001047,CAT0022
P0001051,CAT0001
P0001051,CAT0022
P0001062,CAT0001
P0001062,CAT0022
P0001068,CAT0001
P0001068,CAT0022
P0001071,CAT0001
P0001071,CAT0022
P0001073,CAT0001
P0001073,CAT0022
P0001087,CAT0001
P0001087,CAT0022
P0001088,CAT0001
P0001088,CAT0022
P0001098,CAT0001
P0001098,CAT0022
P0001106,CAT0001
P0001106,CAT0022
P0001122,CAT0001
P0001122,CAT0022
P0001129,CAT0001
P0001129,CAT0022
P0001132,CAT0001
P0001132,CAT0022
P0001151,CAT0001
P0001151,CAT0022
P0001156,CAT0001
P0001156,CAT0022
P0001160,CAT0001
P0001160,CAT0022
P0001161,CAT0001
P0001161,CAT0022
P0001163,CAT0001
P0001163,CAT0022
P0001166,CAT0001
P0001166,CAT0022
P0001179,CAT0001
P0001179,CAT0022
P0001180,CAT0001
P0001180,CAT0022
P0001187,CAT0001
P0001187,CAT0022
P0001203,CAT0001
P0001203,CAT0022
P0001218,CAT0001
P0001218,CAT0022
P0001224,CAT0001
P0001224,CAT0022
P0001246,CAT0001
P0001246,CAT0022
P0001254,CAT0001
P0001254,CAT0022
P0001257,CAT0001
P0001257,CAT0022
P0001266,CAT0001
P0001266,CAT0022
P0001269,CAT0001
P0001269,CAT0022
P0001305,CAT0001
P0001305,CAT0022
P0001306,CAT0001
P0001306,CAT0022
P0001320,CAT0001
P0001320,CAT0022
P0001329,CAT0001
P0001329,CAT0022
P0001343,CAT0001
P0001343,CAT0022
P0001347,CAT0001
P0001347,CAT0022
P0001348,CAT0001
P0001348,CAT0022
P0001367,CAT0001
P0001367,CAT0022
P0001371,CAT0001
P0001371,CAT0022
P0001374,CAT0001
P0001374,CAT0022
P0001375,CAT0001
P0001375,CAT0022
P0001376,CAT0001
P0001376,CAT0022
P0001392,CAT0001
P0001392,CAT0022
P0001397,CAT0001
P0001397,CAT0022
P0001410,CAT0001
P0001410,CAT0022
P0001416,CAT0001
P0001416,CAT0022
P0001423,CAT0001
P0001423,CAT0022
P0001442,CAT0001
P0001442,CAT0022
P0001444,CAT0001
P0001444,CAT0022
P0001447,CAT0001
P0001447,CAT0022
P0001448,CAT0001
P0001448,CAT0022
P0001463,CAT0001
P0001463,CAT0022
P0001475,CAT0001
P0001475,CAT0022
P0001497,CAT0001
P0001497,CAT0022
P0001498,CAT0001
P0001498,CAT0022
P0001511,CAT0001
P0001511,CAT0022
P0001520,CAT0001
P0001520,CAT0022
P0001526,CAT0001
P0001526,CAT0022
P0001543,CAT0001
P0001543,CAT0022
P0001552,CAT0001
P0001552,CAT0022
P0001556,CAT0001
P0001556,CAT0022
P0001557,CAT0001
P0001557,CAT0022
P0001558,CAT0001
P0001558,CAT0022
P0001568,CAT0001
P0001568,CAT0022
P0001582,CAT0001
P0001582,CAT0022
P0001583,CAT0001
P0001583,CAT0022
P0001595,CAT0001
P0001595,CAT0022
P0001606,CAT0001
P0001606,CAT0022
P0001611,CAT0001
P0001611,CAT0022
P0001616,CAT0001
P0001616,CAT0022
P0001630,CAT0001
P0001630,CAT0022
P0001640,CAT0001
P0001640,CAT0022
P0001645,CAT0001
P0001645,CAT0022
P0001646,CAT0001
P0001646,CAT0022
P0001649,CAT0001
P0001649,CAT0022
P0001656,CAT0001
P0001656,CAT0022
P0001657,CAT0001
P0001657,CAT0022
P0001659,CAT0001
P0001659,CAT0022
P0001666,CAT0001
P0001666,CAT0022
P0001669,CAT0001
P0001669,CAT0022
P0001682,CAT0001
P0001682,CAT0022
P0001692,CAT0001
P0001692,CAT0022
P0001699,CAT0001
P0001699,CAT0022
P0001703,CAT0001
P0001703,CAT0022
P0001712,CAT0001
P0001712,CAT0022
P0001714,CAT0001
P0001714,CAT0022
P0001721,CAT0001
P0001721,CAT0022
P0001723,CAT0001
P0001723,CAT0022
P0001724,CAT0001
P0001724,CAT0022
P0001734,CAT0001
P0001734,CAT0022
P0001735,CAT0001
P0001735,CAT0022
P0001743,CAT0001
P0001743,CAT0022
P0001746,CAT0001
P0001746,CAT0022
P0001751,CAT0001
P0001751,CAT0022
P0001765,CAT0001
P0001765,CAT0022
P0001768,CAT0001
P0001768,CAT0022
P0001780,CAT0001
P0001780,CAT0022
P0001784,CAT0001
P0001784,CAT0022
P0001789,CAT0001
P0001789,CAT0022
P0001797,CAT0001
P0001797,CAT0022
P0001798,CAT0001
P0001798,CAT0022
P0001805,CAT0001
P0001805,CAT0022
P0001814,CAT0001
P0001814,CAT0022
P0001824,CAT0001
P0001824,CAT0022
P0001833,CAT0001
P0001833,CAT0022
P0001837,CAT0001
P0001837,CAT0022
P0001840,CAT0001
P0001840,CAT0022
P0001841,CAT0001
P0001841,CAT0022
P0001846,CAT0001
P0001846,CAT0022
P0001847,CAT0001
P0001847,CAT0022
P0001851,CAT0001
P0001851,CAT0022
P0001856,CAT0001
P0001856,CAT0022
P0001870,CAT0001
P0001870,CAT0022
P0001881,CAT0001
P0001881,CAT0022
P0001890,CAT0001
P0001890,CAT0022
P0001901,CAT0001
P0001901,CAT0022
P0001927,CAT0001
P0001927,CAT0022
P0001934,CAT0001
P0001934,CAT0022
P0001936,CAT0001
P0001936,CAT0022
P0001949,CAT0001
P0001949,CAT0022
P0001958,CAT0001
P0001958,CAT0022
P0001971,CAT0001
P0001971,CAT0022
P0001977,CAT0001
P0001977,CAT0022
P0001986,CAT0001
P0001986,CAT0022
P0001988,CAT0001
P0001988,CAT0022
P0002004,CAT0001
P0002004,CAT0022
P0002006,CAT0001
P0002006,CAT0022
P0002013,CAT0001
P0002013,CAT0022
P0002022,CAT0001
P0002022,CAT0022
P0002023,CAT0001
P0002023,CAT0022
P0002025,CAT0001
P0002025,CAT0022
P0002035,CAT0001
P0002035,CAT0022
P0002045,CAT0001
P0002045,CAT0022
P0002046,CAT0001
P0002046,CAT0022
P0002047,CAT0001
P0002047,CAT0022
P0002050,CAT0001
P0002050,CAT0022
P0002061,CAT0001
P0002061,CAT0022
P0002068,CAT0001
P0002068,CAT0022
P0002100,CAT0001
P0002100,CAT0022
P0002110,CAT0001
P0002110,CAT0022
P0002114,CAT0001
P0002114,CAT0022
P0002144,CAT0001
P0002144,CAT0022
P0002151,CAT0001
P0002151,CAT0022
P0002154,CAT0001
P0002154,CAT0022
P0002163,CAT0001
P0002163,CAT0022
P0002171,CAT0001
P0002171,CAT0022
P0002174,CAT0001
P0002174,CAT0022
P0002204,CAT0001
P0002204,CAT0022
P0002216,CAT0001
P0002216,CAT0022
P0002217,CAT0001
P0002217,CAT0022
P0002224,CAT0001
P0002224,CAT0022
P0002225,CAT0001
P0002225,CAT0022
P0002231,CAT0001
P0002231,CAT0022
P0002238,CAT0001
P0002238,CAT0022
P0002242,CAT0001
P0002242,CAT0022
P0002244,CAT0001
P0002244,CAT0022
P0002252,CAT0001
P0002252,CAT0022
P0002256,CAT0001
P0002256,CAT0022
P0002281,CAT0001
P0002281,CAT0022
P0002285,CAT0001
P0002285,CAT0022
P0002299,CAT0001
P0002299,CAT0022
P0002301,CAT0001
P0002301,CAT0022
P0002310,CAT0001
P0002310,CAT0022
P0002320,CAT0001
P0002320,CAT0022
P0002328,CAT0001
P0002328,CAT0022
P0002351,CAT0001
P0002351,CAT0022
P0002384,CAT0001
P0002384,CAT0022
P0002404,CAT0001
P0002404,CAT0022
P0002411,CAT0001
P0002411,CAT0022
P0002426,CAT0001
P0002426,CAT0022
P0002427,CAT0001
P0002427,CAT0022
P0002429,CAT0001
P0002429,CAT0022
P0002440,CAT0001
P0002440,CAT0022
P0002445,CAT0001
P0002445,CAT0022
P0002473,CAT0001
P0002473,CAT0022
P0002474,CAT0001
P0002474,CAT0022
P0002478,CAT0001
P0002478,CAT0022
P0002479,CAT0001
P0002479,CAT0022
P0002495,CAT0001
P0002495,CAT0022
P0002498,CAT0001
P0002498,CAT0022
P0002503,CAT0001
P0002503,CAT0022
P0002505,CAT0001
P0002505,CAT0022
P0002507,CAT0001
P0002507,CAT0022
P0002508,CAT0001
P0002508,CAT0022
P0002511,CAT0001
P0002511,CAT0022
P0002525,CAT0001
P0002525,CAT0022
P0002530,CAT0001
P0002530,CAT0022
P0002538,CAT0001
P0002538,CAT0022
P0002557,CAT0001
P0002557,CAT0022
P0002572,CAT0001
P0002572,CAT0022
P0002576,CAT0001
P0002576,CAT0022
P0002588,CAT0001
P0002588,CAT0022
P0002620,CAT0001
P0002620,CAT0022
P0002623,CAT0001
