inventory_id,product_id,quantity,last_update
INV0000345,P0000345,471,2024-04-04 00:00:00
INV0000346,P0000346,112,2024-04-09 00:00:00
INV0000350,P0000350,4558,2024-04-02 00:00:00
INV0000355,P0000355,425,2024-04-03 00:00:00
INV0000356,P0000356,3,2024-04-05 00:00:00
INV0000358,P0000358,43,2024-04-09 00:00:00
INV0000359,P0000359,182,2024-04-07 00:00:00
INV0000363,P0000363,978,2024-05-17 00:00:00
INV0000364,P0000364,3748,2024-04-02 00:00:00
INV0000366,P0000366,1486,2024-04-08 00:00:00
INV0000367,P0000367,253,2024-04-08 00:00:00
INV0000369,P0000369,10,2024-04-26 01:23:05
INV0000374,P0000374,375,2024-04-11 00:00:00
INV0000377,P0000377,365,2024-04-05 00:00:00
INV0000378,P0000378,295,2024-05-16 00:00:00
INV0000384,P0000384,13,2024-05-22 00:00:00
INV0000385,P0000385,121,2024-04-09 00:00:00
INV0000386,P0000386,456,2024-04-09 00:00:00
INV0000389,P0000389,49,2024-05-02 23:06:36
INV0000392,P0000392,2030,2024-05-20 00:00:00
INV0000393,P0000393,315,2024-05-17 00:00:00
INV0000395,P0000395,337,2024-05-07 04:45:20
INV0000396,P0000396,2224,2024-05-21 00:00:00
INV0000397,P0000397,34,2024-04-11 00:00:00
INV0000401,P0000401,4770,2024-05-24 00:00:00
INV0000402,P0000402,398,2024-04-06 00:00:00
INV0000403,P0000403,334,2024-04-06 00:00:00
INV0000406,P0000406,18,2024-04-05 00:00:00
INV0000408,P0000408,117,2024-04-02 00:00:00
INV0000410,P0000410,276,2024-04-05 00:00:00
INV0000412,P0000412,145,2024-04-10 00:00:00
INV0000415,P0000415,23,2024-04-08 00:00:00
INV0000417,P0000417,2,2024-04-08 00:00:00
INV0000418,P0000418,476,2024-04-05 00:00:00
INV0000420,P0000420,349,2024-05-06 06:07:32
INV0000425,P0000425,0,2024-05-20 00:00:00
INV0000426,P0000426,9,2024-04-01 00:00:00
INV0000428,P0000428,81,2024-04-11 00:00:00
INV0000430,P0000430,32,2024-04-06 00:00:00
INV0000431,P0000431,89,2024-04-05 00:00:00
INV0000434,P0000434,358,2024-05-17 00:00:00
INV0000436,P0000436,2676,2024-04-07 00:00:00
INV0000440,P0000440,232,2024-04-05 00:00:00
INV0000441,P0000441,43,2024-04-03 00:00:00
INV0000444,P0000444,2381,2024-04-06 00:00:00
INV0000445,P0000445,20,2024-04-02 00:00:00
INV0000447,P0000447,0,2024-05-18 00:00:00
INV0000451,P0000451,43,2024-04-02 00:00:00
INV0000453,P0000453,292,2024-05-03 20:01:58
INV0000454,P0000454,454,2024-04-07 00:00:00
INV0000455,P0000455,43,2024-04-22 02:05:23
INV0000456,P0000456,470,2024-05-21 00:00:00
INV0000461,P0000461,265,2024-04-08 00:00:00
INV0000462,P0000462,2809,2024-04-07 00:00:00
INV0000464,P0000464,1659,2024-04-03 00:00:00
INV0000468,P0000468,2931,2024-04-06 00:00:00
INV0000469,P0000469,8,2024-05-25 00:00:00
INV0000471,P0000471,0,2024-05-19 00:00:00
INV0000473,P0000473,361,2024-05-16 00:00:00
INV0000475,P0000475,1008,2024-04-06 00:00:00
INV0000476,P0000476,4280,2024-05-06 05:01:25
INV0000483,P0000483,19,2024-05-26 00:00:00
INV0000484,P0000484,269,2024-04-08 00:00:00
INV0000485,P0000485,312,2024-04-07 00:00:00
INV0000491,P0000491,3667,2024-04-08 00:00:00
INV0000492,P0000492,4949,2024-04-06 00:00:00
INV0000493,P0000493,33,2024-04-08 00:00:00
INV0000495,P0000495,307,2024-04-05 00:00:00
INV0000496,P0000496,23,2024-04-02 00:00:00
INV0000497,P0000497,0,2024-05-26 00:00:00
INV0000503,P0000503,0,2024-05-16 00:00:00
INV0000508,P0000508,300,2024-04-07 00:00:00
INV0000510,P0000510,179,2024-04-07 00:00:00
INV0000511,P0000511,28,2024-04-08 00:00:00
INV0000513,P0000513,24,2024-05-26 00:00:00
INV0000515,P0000515,42,2024-04-01 00:00:00
INV0000516,P0000516,99,2024-04-06 00:00:00
INV0000523,P0000523,47,2024-05-23 00:00:00
INV0000528,P0000528,320,2024-05-19 00:00:00
INV0000530,P0000530,7,2024-04-03 00:00:00
INV0000533,P0000533,186,2024-04-05 00:00:00
INV0000537,P0000537,82,2024-04-04 00:00:00
INV0000540,P0000540,24,2024-04-01 00:00:00
INV0000541,P0000541,171,2024-04-06 00:00:00
INV0000542,P0000542,336,2024-04-01 00:00:00
INV0000543,P0000543,215,2024-04-01 00:00:00
INV0000546,P0000546,48,2024-05-22 00:00:00
INV0000547,P0000547,54,2024-04-06 00:00:00
INV0000550,P0000550,136,2024-04-04 00:00:00
INV0000554,P0000554,37,2024-05-24 00:00:00
INV0000560,P0000560,481,2024-04-08 00:00:00
INV0000561,P0000561,426,2024-04-09 00:00:00
INV0000562,P0000562,428,2024-04-07 00:00:00
INV0000563,P0000563,37,2024-04-11 00:00:00
INV0000568,P0000568,177,2024-04-01 00:00:00
INV0000576,P0000576,12,2024-05-23 00:00:00
INV0000581,P0000581,17,2024-04-10 00:00:00
INV0000585,P0000585,30,2024-04-02 00:00:00
INV0000589,P0000589,34,2024-04-04 00:00:00
INV0000592,P0000592,29,2024-04-06 00:00:00
INV0000594,P0000594,176,2024-04-09 00:00:00
INV0000595,P0000595,24,2024-05-01 10:13:07
INV0000596,P0000596,47,2024-04-05 00:00:00
INV0000597,P0000597,2491,2024-04-10 00:00:00
INV0000602,P0000602,176,2024-04-05 00:00:00
INV0000606,P0000606,3308,2024-04-08 00:00:00
INV0000609,P0000609,3360,2024-04-04 00:00:00
INV0000617,P0000617,8,2024-04-08 00:00:00
INV0000619,P0000619,8,2024-04-05 00:00:00
INV0000620,P0000620,38,2024-04-01 00:00:00
INV0000622,P0000622,232,2024-04-03 00:00:00
INV0000624,P0000624,3531,2024-04-01 00:00:00
INV0000626,P0000626,18,2024-04-11 00:00:00
INV0000629,P0000629,141,2024-04-04 00:00:00
INV0000630,P0000630,0,2024-05-23 00:00:00
INV0000639,P0000639,21,2024-04-09 00:00:00
INV0000648,P0000648,4,2024-04-06 00:00:00
INV0000654,P0000654,493,2024-04-02 00:00:00
INV0000657,P0000657,41,2024-05-23 00:00:00
INV0000658,P0000658,11,2024-04-07 00:00:00
INV0000659,P0000659,376,2024-04-09 00:00:00
INV0000660,P0000660,23,2024-04-11 00:00:00
INV0000661,P0000661,241,2024-04-05 00:00:00
INV0000675,P0000675,439,2024-05-25 00:00:00
INV0000677,P0000677,181,2024-04-04 00:00:00
INV0000678,P0000678,459,2024-04-08 00:00:00
INV0000679,P0000679,366,2024-04-04 00:00:00
INV0000682,P0000682,46,2024-04-04 00:00:00
INV0000683,P0000683,398,2024-04-02 00:00:00
INV0000685,P0000685,19,2024-04-08 00:00:00
INV0000687,P0000687,13,2024-04-08 00:00:00
INV0000688,P0000688,28,2024-04-03 00:00:00
INV0000692,P0000692,3,2024-04-10 00:00:00
INV0000703,P0000703,108,2024-05-21 00:00:00
INV0000704,P0000704,184,2024-04-02 00:00:00
INV0000709,P0000709,24,2024-05-23 00:00:00
INV0000722,P0000722,191,2024-05-23 00:00:00
INV0000729,P0000729,0,2024-05-24 00:00:00
INV0000732,P0000732,49,2024-04-07 00:00:00
INV0000733,P0000733,390,2024-04-26 13:38:44
INV0000735,P0000735,47,2024-04-08 00:00:00
INV0000737,P0000737,310,2024-04-04 00:00:00
INV0000744,P0000744,3,2024-04-06 00:00:00
INV0000751,P0000751,0,2024-05-17 00:00:00
INV0000752,P0000752,12,2024-05-22 00:00:00
INV0000754,P0000754,648,2024-04-06 00:00:00
INV0000756,P0000756,4535,2024-04-01 00:00:00
INV0000766,P0000766,63,2024-05-24 00:00:00
INV0000770,P0000770,49,2024-05-26 00:00:00
INV0000772,P0000772,470,2024-04-03 00:00:00
INV0000776,P0000776,39,2024-04-10 00:00:00
INV0000778,P0000778,46,2024-04-02 00:00:00
INV0000780,P0000780,104,2024-04-03 00:00:00
INV0000786,P0000786,6,2024-04-10 00:00:00
INV0000788,P0000788,27,2024-04-03 00:00:00
INV0000789,P0000789,105,2024-04-06 00:00:00
INV0000794,P0000794,2725,2024-04-08 00:00:00
INV0000803,P0000803,412,2024-05-26 00:00:00
INV0000804,P0000804,1376,2024-04-07 00:00:00
INV0000805,P0000805,300,2024-05-26 00:00:00
INV0000814,P0000814,2986,2024-04-03 00:00:00
INV0000815,P0000815,102,2024-04-01 00:00:00
INV0000822,P0000822,23,2024-05-21 00:00:00
INV0000826,P0000826,86,2024-05-12 08:37:03
INV0000830,P0000830,0,2024-05-24 00:00:00
INV0000831,P0000831,153,2024-04-10 00:00:00
INV0000835,P0000835,0,2024-05-21 00:00:00
INV0000837,P0000837,39,2024-05-19 00:00:00
INV0000840,P0000840,100,2024-04-03 00:00:00
INV0000841,P0000841,140,2024-05-19 00:00:00
INV0000845,P0000845,337,2024-04-07 00:00:00
INV0000850,P0000850,22,2024-04-01 00:00:00
INV0000856,P0000856,17,2024-04-10 00:00:00
INV0000869,P0000869,274,2024-05-22 00:00:00
INV0000870,P0000870,1492,2024-04-01 00:00:00
INV0000882,P0000882,50,2024-04-11 00:00:00
INV0000889,P0000889,6,2024-04-02 00:00:00
INV0000893,P0000893,15,2024-04-03 00:00:00
INV0000901,P0000901,15,2024-04-11 00:00:00
INV0000908,P0000908,455,2024-04-06 00:00:00
INV0000909,P0000909,31,2024-04-04 00:00:00
INV0000910,P0000910,110,2024-04-06 00:00:00
INV0000913,P0000913,208,2024-04-23 16:05:36
INV0000927,P0000927,254,2024-04-04 00:00:00
INV0000928,P0000928,50,2024-04-03 00:00:00
INV0000933,P0000933,29,2024-04-01 00:00:00
INV0000936,P0000936,33,2024-04-03 00:00:00
INV0000938,P0000938,206,2024-04-08 00:00:00
INV0000941,P0000941,90,2024-04-04 00:00:00
INV0000944,P0000944,2450,2024-05-18 00:00:00
INV0000950,P0000950,0,2024-05-21 00:00:00
INV0000954,P0000954,0,2024-05-26 00:00:00
INV0000955,P0000955,476,2024-04-03 00:00:00
INV0000960,P0000960,25,2024-04-11 00:00:00
INV0000976,P0000976,2806,2024-04-03 00:00:00
INV0000982,P0000982,0,2024-05-18 00:00:00
INV0000984,P0000984,127,2024-05-23 00:00:00
INV0000999,P0000999,368,2024-04-06 00:00:00
INV0001004,P0001004,486,2024-05-25 00:00:00
INV0001005,P0001005,4182,2024-04-30 10:31:30
INV0001022,P0001022,40,2024-05-26 00:00:00
INV0001047,P0001047,185,2024-04-07 00:00:00
INV0001051,P0001051,442,2024-04-05 00:00:00
INV0001062,P0001062,387,2024-04-10 00:00:00
INV0001068,P0001068,478,2024-04-08 00:00:00
INV0001071,P0001071,19,2024-04-07 00:00:00
INV0001073,P0001073,96,2024-05-18 00:00:00
INV0001087,P0001087,29,2024-05-20 00:00:00
INV0001088,P0001088,29,2024-05-23 00:00:00
INV0001098,P0001098,45,2024-04-02 00:00:00
INV0001106,P0001106,37,2024-04-06 00:00:00
INV0001122,P0001122,336,2024-05-23 00:00:00
INV0001129,P0001129,169,2024-04-20 18:25:06
INV0001132,P0001132,263,2024-04-11 00:00:00
INV0001151,P0001151,24,2024-04-07 00:00:00
INV0001156,P0001156,319,2024-04-17 00:13:50
INV0001160,P0001160,364,2024-04-05 00:00:00
INV0001161,P0001161,319,2024-04-28 02:24:30
INV0001163,P0001163,17,2024-04-03 00:00:00
INV0001166,P0001166,852,2024-04-03 00:00:00
INV0001179,P0001179,38,2024-04-03 00:00:00
INV0001180,P0001180,18,2024-04-01 00:00:00
INV0001187,P0001187,589,2024-05-20 00:00:00
INV0001203,P0001203,208,2024-05-26 00:00:00
INV0001218,P0001218,1264,2024-04-07 00:00:00
INV0001224,P0001224,460,2024-05-11 07:21:25
INV0001246,P0001246,448,2024-04-07 00:00:00
INV0001254,P0001254,133,2024-05-19 00:00:00
INV0001257,P0001257,1978,2024-04-01 00:00:00
INV0001266,P0001266,1473,2024-04-04 00:00:00
INV0001269,P0001269,39,2024-04-08 00:00:00
INV0001305,P0001305,0,2024-05-17 00:00:00
INV0001306,P0001306,48,2024-04-01 00:00:00
INV0001320,P0001320,389,2024-05-18 00:00:00
INV0001329,P0001329,71,2024-04-04 00:00:00
INV0001343,P0001343,308,2024-04-06 00:00:00
INV0001347,P0001347,0,2024-05-22 00:00:00
INV0001348,P0001348,221,2024-04-02 00:00:00
INV0001367,P0001367,927,2024-04-08 00:00:00
INV0001371,P0001371,33,2024-04-05 00:00:00
INV0001374,P0001374,0,2024-05-20 00:00:00
INV0001375,P0001375,897,2024-04-11 00:00:00
INV0001376,P0001376,427,2024-04-02 00:00:00
INV0001392,P0001392,26,2024-05-21 00:00:00
INV0001397,P0001397,28,2024-04-03 00:00:00
INV0001410,P0001410,943,2024-04-06 00:00:00
INV0001416,P0001416,14,2024-04-07 00:00:00
INV0001423,P0001423,225,2024-04-02 00:00:00
INV0001442,P0001442,186,2024-05-19 00:00:00
INV0001444,P0001444,2848,2024-05-15 16:59:18
INV0001447,P0001447,177,2024-04-09 00:00:00
INV0001448,P0001448,357,2024-04-04 00:00:00
INV0001463,P0001463,97,2024-04-11 00:00:00
INV0001475,P0001475,3,2024-04-11 00:00:00
INV0001497,P0001497,14,2024-04-03 00:00:00
INV0001498,P0001498,18,2024-04-02 00:00:00
INV0001511,P0001511,50,2024-05-21 00:00:00
INV0001520,P0001520,24,2024-04-01 00:00:00
INV0001526,P0001526,27,2024-04-01 00:00:00
INV0001543,P0001543,312,2024-05-16 00:00:00
INV0001552,P0001552,335,2024-05-22 00:00:00
INV0001556,P0001556,89,2024-04-05 00:00:00
INV0001557,P0001557,6,2024-04-11 00:00:00
INV0001558,P0001558,1184,2024-04-24 14:44:35
INV0001568,P0001568,472,2024-05-24 00:00:00
INV0001582,P0001582,361,2024-05-24 00:00:00
INV0001583,P0001583,37,2024-04-01 00:00:00
INV0001595,P0001595,2278,2024-04-05 00:00:00
INV0001606,P0001606,22,2024-05-20 00:00:00
INV0001611,P0001611,421,2024-04-10 00:00:00
INV0001616,P0001616,224,2024-05-22 00:00:00
INV0001630,P0001630,89,2024-05-04 20:16:58
INV0001640,P0001640,50,2024-05-18 00:00:00
INV0001645,P0001645,136,2024-05-07 01:59:31
INV0001646,P0001646,9,2024-04-07 00:00:00
INV0001649,P0001649,29,2024-04-07 00:00:00
INV0001656,P0001656,45,2024-04-06 00:00:00
INV0001657,P0001657,0,2024-05-21 00:00:00
INV0001659,P0001659,91,2024-04-07 00:00:00
INV0001666,P0001666,34,2024-04-29 03:50:40
INV0001669,P0001669,3,2024-04-05 00:00:00
INV0001682,P0001682,23,2024-04-10 00:00:00
INV0001692,P0001692,0,2024-05-20 00:00:00
INV0001699,P0001699,0,2024-05-19 00:00:00
INV0001703,P0001703,382,2024-04-07 00:00:00
INV0001712,P0001712,3,2024-05-01 22:26:33
INV0001714,P0001714,10,2024-04-02 00:00:00
INV0001721,P0001721,271,2024-04-06 00:00:00
INV0001723,P0001723,205,2024-04-07 00:00:00
INV0001724,P0001724,4877,2024-04-04 00:00:00
INV0001734,P0001734,428,2024-04-06 00:00:00
INV0001735,P0001735,7,2024-05-17 00:00:00
INV0001743,P0001743,179,2024-04-19 19:26:18
