audit_id,admin_id,store_id,action_type,reason,action_time
AU0000199,A05329,ST00713,approve,,2024-02-08 10:27:45
AU0000200,A01299,ST01071,approve,,2024-02-11 03:22:12
AU0000201,A01209,ST01700,approve,,2024-02-12 07:40:02
AU0000202,A04914,ST02563,approve,,2024-02-02 18:43:22
AU0000203,A05061,ST02360,approve,,2024-02-16 18:18:38
AU0000204,A04418,ST05913,approve,,2024-02-02 20:46:24
AU0000205,A03780,ST02964,approve,,2024-02-22 23:55:06
AU0000206,A03417,ST02925,approve,,2024-02-13 13:04:18
AU0000207,A02363,ST07994,approve,,2024-02-26 02:03:24
AU0000208,A03136,ST00821,approve,,2024-02-19 20:17:04
AU0000209,A02113,ST06973,approve,,2024-02-01 11:07:58
AU0000210,A02407,ST03879,approve,,2024-02-18 08:53:54
AU0000211,A03651,ST06965,approve,,2024-02-07 01:37:30
AU0000212,A02306,ST00059,approve,,2024-02-19 00:37:21
AU0000213,A02107,ST08036,approve,,2024-02-04 23:57:55
AU0000214,A01322,ST07265,approve,,2024-02-20 09:56:41
AU0000215,A01685,ST03681,approve,,2024-02-27 15:23:08
AU0000216,A03896,ST03834,approve,,2024-02-04 17:52:22
AU0000217,A02853,ST00450,approve,,2024-02-14 20:22:16
AU0000218,A04985,ST06912,approve,,2024-02-14 00:45:04
AU0000219,A04910,ST03777,approve,,2024-02-24 15:00:19
AU0000220,A00610,ST06737,approve,,2024-02-02 01:05:17
AU0000221,A01664,ST08170,approve,,2024-02-23 21:57:08
AU0000222,A02810,ST02073,approve,,2024-02-16 16:52:17
AU0000223,A02966,ST07635,approve,,2024-02-10 23:40:33
AU0000224,A04449,ST06571,approve,,2024-02-04 23:04:03
AU0000225,A03771,ST00344,approve,,2024-02-01 23:44:17
AU0000226,A03523,ST06579,approve,,2024-02-21 21:33:27
AU0000227,A01529,ST06082,approve,,2024-02-20 11:48:15
AU0000228,A03482,ST03574,approve,,2024-02-22 18:08:56
AU0000229,A04306,ST03271,approve,,2024-02-20 00:52:27
AU0000230,A02664,ST05399,approve,,2024-02-20 07:36:07
AU0000231,A02800,ST07339,approve,,2024-02-21 02:25:00
AU0000232,A03691,ST03275,approve,,2024-02-11 03:24:45
AU0000233,A02870,ST06264,approve,,2024-02-02 05:30:57
AU0000234,A05181,ST04487,approve,,2024-02-27 02:56:00
AU0000235,A01554,ST06695,approve,,2024-02-13 09:56:04
AU0000236,A04768,ST06413,approve,,2024-02-20 06:06:50
AU0000237,A01561,ST05193,approve,,2024-02-17 18:07:19
AU0000238,A05219,ST00683,approve,,2024-02-09 16:07:43
AU0000239,A01700,ST07950,approve,,2024-02-01 01:53:40
AU0000240,A03747,ST05245,approve,,2024-02-23 15:27:16
AU0000241,A00452,ST00345,approve,,2024-02-17 00:51:52
AU0000242,A02149,ST00942,approve,,2024-02-16 02:25:34
AU0000243,A01822,ST06102,approve,,2024-02-27 04:11:04
AU0000244,A00309,ST06244,approve,,2024-02-02 04:40:40
AU0000245,A01275,ST03687,approve,,2024-02-24 18:54:53
AU0000246,A03731,ST03792,approve,,2024-02-19 03:57:15
AU0000247,A03957,ST01006,approve,,2024-02-21 04:34:15
AU0000248,A04769,ST04075,approve,,2024-02-14 23:11:30
AU0000249,A03977,ST03761,approve,,2024-02-07 03:23:02
AU0000250,A03320,ST07726,approve,,2024-02-15 00:08:29
AU0000251,A03777,ST07636,approve,,2024-02-10 03:31:10
AU0000252,A00427,ST06749,approve,,2024-02-05 11:18:59
AU0000253,A01858,ST07366,approve,,2024-02-27 23:35:29
AU0000254,A00371,ST07763,approve,,2024-02-25 15:33:34
AU0000255,A02160,ST05282,approve,,2024-02-13 07:30:49
AU0000256,A03975,ST00546,approve,,2024-02-13 10:52:57
AU0000257,A01205,ST03640,approve,,2024-02-05 20:26:30
AU0000258,A03640,ST06063,approve,,2024-02-07 15:00:22
AU0000259,A03764,ST05172,approve,,2024-02-26 17:46:18
AU0000260,A03904,ST07658,approve,,2024-02-15 12:20:03
AU0000261,A03433,ST07665,approve,,2024-02-13 02:40:09
AU0000262,A00800,ST00414,approve,,2024-02-01 18:27:34
AU0000263,A01765,ST02339,approve,,2024-02-23 12:34:03
AU0000264,A02127,ST03908,approve,,2024-02-16 19:28:27
AU0000265,A04547,ST03496,approve,,2024-02-21 02:31:27
AU0000266,A05224,ST08163,approve,,2024-02-07 23:53:17
AU0000267,A00779,ST02207,approve,,2024-02-27 17:31:38
AU0000268,A04824,ST04048,approve,,2024-02-14 19:01:08
AU0000269,A02939,ST04175,approve,,2024-02-12 19:09:42
AU0000270,A01751,ST00590,approve,,2024-02-08 17:46:00
AU0000271,A04699,ST00389,approve,,2024-02-15 11:38:47
AU0000272,A04203,ST05575,approve,,2024-02-15 18:52:37
AU0000273,A03146,ST00511,approve,,2024-02-17 10:59:45
AU0000274,A03673,ST06778,approve,,2024-02-25 08:50:31
AU0000275,A04788,ST07522,approve,,2024-02-11 13:47:07
AU0000276,A01722,ST08461,approve,,2024-02-28 20:41:30
AU0000277,A02620,ST04758,approve,,2024-02-26 17:13:58
AU0000278,A02979,ST01947,approve,,2024-02-17 21:18:28
AU0000279,A03877,ST04736,approve,,2024-02-04 01:55:48
AU0000280,A02992,ST01276,approve,,2024-02-17 20:00:29
AU0000281,A02783,ST03326,approve,,2024-02-08 05:19:54
AU0000282,A05480,ST01339,approve,,2024-02-20 14:50:19
AU0000283,A02567,ST07574,approve,,2024-02-24 17:42:20
AU0000284,A05355,ST06179,approve,,2024-02-12 15:05:09
AU0000285,A01011,ST06583,approve,,2024-02-23 21:10:37
AU0000286,A01000,ST06567,approve,,2024-02-17 21:38:43
AU0000287,A02478,ST02932,approve,,2024-02-20 07:38:00
AU0000288,A02620,ST00198,approve,,2024-02-18 16:30:47
AU0000289,A00639,ST06325,approve,,2024-02-11 22:59:05
AU0000290,A05092,ST07049,approve,,2024-02-14 02:04:23
AU0000291,A03155,ST00874,approve,,2024-02-27 01:09:16
AU0000292,A02145,ST00130,approve,,2024-02-02 06:10:01
AU0000293,A05069,ST04488,approve,,2024-02-18 16:43:44
AU0000294,A04871,ST04554,approve,,2024-02-25 10:18:15
AU0000295,A05477,ST01865,approve,,2024-02-09 21:44:19
AU0000296,A04110,ST06467,approve,,2024-02-20 07:56:21
AU0000297,A01841,ST00681,approve,,2024-02-12 17:58:53
AU0000298,A04330,ST04503,approve,,2024-02-03 06:28:20
AU0000299,A03428,ST02762,approve,,2024-02-05 04:38:46
AU0000300,A04012,ST05079,approve,,2024-02-21 23:05:01
AU0000301,A00426,ST00173,approve,,2024-02-27 04:30:50
AU0000302,A00131,ST08114,approve,,2024-02-12 01:19:20
AU0000303,A05201,ST01284,approve,,2024-02-08 08:16:40
AU0000304,A03683,ST01592,approve,,2024-02-26 05:49:07
AU0000305,A03598,ST01956,approve,,2024-02-07 16:17:10
AU0000306,A05497,ST00169,approve,,2024-02-08 04:26:38
AU0000307,A04433,ST04314,approve,,2024-02-28 12:56:55
AU0000308,A01927,ST06461,approve,,2024-02-12 00:19:54
AU0000309,A04756,ST00025,approve,,2024-02-17 17:53:17
AU0000310,A05092,ST04986,approve,,2024-02-07 16:32:00
AU0000311,A03347,ST02009,approve,,2024-02-08 16:33:40
AU0000312,A01465,ST07507,approve,,2024-02-01 12:02:39
AU0000313,A02886,ST01199,approve,,2024-02-24 06:00:01
AU0000314,A04101,ST06150,approve,,2024-02-25 08:02:28
AU0000315,A04311,ST05454,approve,,2024-02-15 07:51:43
AU0000316,A05247,ST01523,approve,,2024-02-12 22:48:15
AU0000317,A03299,ST07110,approve,,2024-02-26 21:38:54
AU0000318,A02415,ST03091,approve,,2024-02-05 11:36:49
AU0000319,A01530,ST05470,approve,,2024-02-16 00:10:09
AU0000320,A03087,ST02990,approve,,2024-02-15 20:26:41
AU0000321,A02018,ST07085,approve,,2024-02-14 00:17:49
AU0000322,A02367,ST02038,approve,,2024-02-21 23:50:33
AU0000323,A04222,ST03969,approve,,2024-02-02 06:09:27
AU0000324,A04404,ST05643,approve,,2024-02-26 15:09:40
AU0000325,A01184,ST08259,approve,,2024-02-08 15:52:25
AU0000326,A00051,ST07680,approve,,2024-02-26 03:33:16
AU0000327,A00183,ST01447,approve,,2024-02-05 11:56:49
AU0000328,A03536,ST00370,approve,,2024-02-03 17:31:14
AU0000329,A01238,ST00373,approve,,2024-02-06 18:43:03
AU0000330,A02371,ST00149,approve,,2024-02-17 01:17:19
AU0000331,A03000,ST06765,approve,,2024-02-15 00:33:38
AU0000332,A03975,ST07022,approve,,2024-02-13 18:19:15
AU0000333,A04459,ST00552,approve,,2024-02-06 06:05:35
AU0000334,A04155,ST00021,approve,,2024-02-10 18:18:24
AU0000335,A05483,ST06887,approve,,2024-02-05 02:42:54
AU0000336,A04381,ST01009,approve,,2024-02-24 08:08:46
AU0000337,A02963,ST03106,approve,,2024-02-06 11:51:19
AU0000338,A03150,ST07592,approve,,2024-02-11 01:18:01
AU0000339,A00438,ST06402,approve,,2024-02-22 18:53:42
AU0000340,A02451,ST06750,approve,,2024-02-16 06:38:29
AU0000341,A05378,ST04588,approve,,2024-02-18 15:08:58
AU0000342,A04333,ST07264,approve,,2024-02-04 12:45:20
AU0000343,A00337,ST05005,approve,,2024-02-10 00:10:43
AU0000344,A02068,ST06166,approve,,2024-02-09 15:15:56
AU0000345,A02951,ST02396,approve,,2024-02-20 01:17:43
AU0000346,A02497,ST00732,approve,,2024-02-11 23:40:47
AU0000347,A04954,ST07322,approve,,2024-02-03 18:52:51
AU0000348,A05461,ST06757,approve,,2024-02-24 17:20:52
AU0000349,A02817,ST08248,approve,,2024-02-27 08:59:42
AU0000350,A05231,ST00820,approve,,2024-02-20 01:50:39
AU0000351,A01710,ST01640,approve,,2024-02-16 21:34:38
AU0000352,A05463,ST06677,approve,,2024-02-14 20:22:09
AU0000353,A04719,ST01681,approve,,2024-02-14 15:07:04
AU0000354,A02307,ST06825,approve,,2024-02-18 09:46:22
AU0000355,A01534,ST05967,approve,,2024-02-11 19:42:50
AU0000356,A01762,ST03207,approve,,2024-02-20 18:01:07
AU0000357,A00501,ST05494,approve,,2024-02-22 00:11:30
AU0000358,A00225,ST01736,approve,,2024-02-10 08:15:36
AU0000359,A00343,ST02315,approve,,2024-02-20 00:34:28
AU0000360,A01846,ST08493,approve,,2024-02-18 14:56:10
AU0000361,A03297,ST01080,approve,,2024-02-20 10:36:52
AU0000362,A04543,ST03693,approve,,2024-02-11 01:38:51
AU0000363,A03354,ST05968,approve,,2024-02-13 15:59:01
AU0000364,A02186,ST05912,approve,,2024-02-25 07:12:21
AU0000365,A02476,ST02502,approve,,2024-02-12 03:12:50
AU0000366,A01119,ST03562,approve,,2024-02-21 17:25:28
AU0000367,A01232,ST02023,approve,,2024-02-27 08:21:45
AU0000368,A00042,ST07791,approve,,2024-02-15 04:53:40
AU0000369,A03278,ST00251,approve,,2024-02-27 18:57:26
AU0000370,A02836,ST06605,approve,,2024-02-26 09:48:27
AU0000371,A04175,ST01844,approve,,2024-02-13 16:05:06
AU0000372,A04267,ST03312,approve,,2024-02-10 09:45:33
AU0000373,A00246,ST06189,approve,,2024-02-26 02:13:02
AU0000374,A01907,ST08391,approve,,2024-02-08 09:38:50
AU0000375,A04598,ST07370,approve,,2024-02-15 15:13:24
AU0000376,A03839,ST05377,approve,,2024-02-10 04:18:46
AU0000377,A02333,ST04418,approve,,2024-02-23 07:28:23
AU0000378,A04516,ST07608,approve,,2024-02-02 10:57:01
AU0000379,A05408,ST05109,approve,,2024-02-05 00:48:08
AU0000380,A03140,ST06310,approve,,2024-02-09 11:51:21
AU0000381,A00076,ST08131,approve,,2024-02-05 15:23:33
AU0000382,A04955,ST07420,approve,,2024-02-12 11:19:16
AU0000383,A00233,ST00650,approve,,2024-02-01 22:13:19
AU0000384,A00780,ST04129,approve,,2024-02-19 18:27:22
AU0000385,A04682,ST04368,approve,,2024-02-24 21:14:32
AU0000386,A04350,ST08382,approve,,2024-02-22 15:43:03
AU0000387,A04559,ST01934,approve,,2024-02-13 00:30:50
AU0000388,A05124,ST00914,approve,,2024-02-14 10:35:59
AU0000389,A00582,ST02118,approve,,2024-02-20 01:49:10
AU0000390,A01535,ST05792,approve,,2024-02-12 18:19:14
AU0000391,A04003,ST07209,approve,,2024-02-16 07:49:07
AU0000392,A01426,ST05400,approve,,2024-02-13 12:18:35
AU0000393,A02999,ST05789,approve,,2024-02-12 14:40:07
AU0000394,A02358,ST00956,approve,,2024-02-12 14:35:13
AU0000395,A00642,ST06633,approve,,2024-02-15 11:17:35
AU0000396,A03462,ST04212,approve,,2024-02-19 00:53:43
AU0000397,A03720,ST02983,approve,,2024-02-16 06:21:03
AU0000398,A03550,ST01472,approve,,2024-02-07 05:15:12
AU0000399,A05480,ST03674,approve,,2024-02-07 10:21:36
AU0000400,A02856,ST05936,approve,,2024-02-26 14:31:53
AU0000401,A03671,ST04967,approve,,2024-02-02 21:13:21
AU0000402,A03049,ST00513,approve,,2024-02-09 18:31:24
AU0000403,A04635,ST00584,approve,,2024-02-07 15:26:37
AU0000404,A04254,ST01194,approve,,2024-02-19 16:01:18
AU0000405,A04020,ST06315,approve,,2024-02-21 01:46:47
AU0000406,A00494,ST01178,approve,,2024-02-15 08:24:42
AU0000407,A02234,ST00738,approve,,2024-02-24 20:11:52
AU0000408,A02020,ST02816,approve,,2024-02-01 21:10:38
AU0000409,A04167,ST02789,approve,,2024-02-11 12:07:43
AU0000410,A00246,ST05558,approve,,2024-02-10 17:35:57
AU0000411,A01824,ST07386,approve,,2024-02-22 06:59:29
AU0000412,A05060,ST06795,approve,,2024-02-28 23:01:24
AU0000413,A00307,ST04204,approve,,2024-02-07 03:42:55
AU0000414,A02753,ST07734,approve,,2024-02-03 00:46:00
AU0000415,A02547,ST04315,approve,,2024-02-27 10:10:32
AU0000416,A04560,ST07828,approve,,2024-02-26 08:20:19
AU0000417,A00526,ST01485,approve,,2024-02-11 23:35:16
AU0000418,A03125,ST03830,approve,,2024-02-22 16:13:31
AU0000419,A03248,ST06916,approve,,2024-02-18 07:31:43
AU0000420,A01550,ST03706,approve,,2024-02-14 08:56:46
AU0000421,A03040,ST04823,approve,,2024-02-15 18:26:10
AU0000422,A01112,ST06060,approve,,2024-02-15 04:21:18
AU0000423,A02610,ST08401,approve,,2024-02-06 03:33:56
AU0000424,A00671,ST05552,approve,,2024-02-09 10:18:48
AU0000425,A01227,ST01550,approve,,2024-02-23 04:18:29
AU0000426,A02617,ST04316,approve,,2024-02-10 10:30:07
AU0000427,A04699,ST00081,approve,,2024-02-01 20:04:56
AU0000428,A02324,ST05385,approve,,2024-02-26 05:46:23
AU0000429,A05132,ST06492,approve,,2024-02-27 18:35:23
AU0000430,A03359,ST01255,approve,,2024-02-22 12:16:07
AU0000431,A01766,ST03231,approve,,2024-02-19 18:54:59
AU0000432,A00041,ST06503,approve,,2024-02-13 09:55:35
AU0000433,A05432,ST02305,approve,,2024-02-11 11:50:38
AU0000434,A00261,ST03993,approve,,2024-02-14 20:26:57
AU0000435,A03079,ST04492,approve,,2024-02-02 16:05:25
