cart_id,product_id,quantity,last_update
CT06372,P0088908,1,2024-04-02 22:37:11
CT03624,P0377339,2,2024-04-09 14:32:00
CT00062,P0152125,1,2024-04-05 15:32:26
CT01027,P0153466,1,2024-04-04 11:17:49
CT03631,P0269153,7,2024-04-03 13:48:45
CT01335,P0362795,3,2024-04-13 04:37:37
CT03606,P0015871,3,2024-04-12 12:47:58
CT00709,P0331606,1,2024-04-11 01:03:25
CT00986,P0371267,1,2024-04-04 10:50:38
CT00279,P0246826,1,2024-04-04 07:01:05
CT02344,P0001088,2,2024-04-12 05:11:22
CT01411,P0057871,1,2024-04-01 16:53:10
CT00518,P0358589,1,2024-04-12 19:40:38
CT02994,P0300170,1,2024-04-02 14:21:03
CT03689,P0201552,1,2024-04-06 15:50:18
CT00211,P0032104,2,2024-04-14 08:50:06
CT01086,P0046529,1,2024-04-03 23:26:27
CT02597,P0272791,2,2024-04-10 16:29:53
CT01628,P0354056,1,2024-04-12 14:39:14
CT03338,P0061383,1,2024-04-14 21:37:09
CT04544,P0011764,1,2024-04-11 15:26:03
CT03661,P0160010,1,2024-04-04 06:59:09
CT01792,P0309700,1,2024-04-14 08:22:50
CT00516,P0273293,1,2024-04-06 01:58:23
CT04467,P0030884,1,2024-04-11 23:31:33
CT04042,P0176126,2,2024-04-12 09:05:59
CT00166,P0051076,1,2024-04-04 12:02:28
CT01791,P0236958,1,2024-04-04 16:59:07
CT06093,P0256204,1,2024-04-01 00:08:44
CT00042,P0150630,1,2024-04-11 08:10:26
CT02370,P0273232,1,2024-04-10 08:02:32
CT03322,P0127101,1,2024-04-10 08:56:54
CT00699,P0320016,1,2024-04-02 19:14:53
CT03812,P0182426,1,2024-04-06 14:30:13
CT05516,P0173401,1,2024-04-04 16:56:54
CT02604,P0330019,1,2024-04-06 06:03:26
CT00462,P0155881,1,2024-04-10 22:58:52
CT02342,P0273467,1,2024-04-06 01:04:15
CT06259,P0226275,1,2024-04-01 15:58:53
CT00786,P0059641,2,2024-04-09 19:54:34
CT05241,P0344533,1,2024-04-13 11:41:54
CT02280,P0346892,1,2024-04-03 16:04:09
CT00080,P0018179,1,2024-04-14 18:05:07
CT05712,P0000211,1,2024-04-03 07:11:07
CT04597,P0323867,1,2024-04-07 05:30:46
CT00312,P0383895,1,2024-04-01 21:10:36
CT03560,P0028766,1,2024-04-14 02:51:04
CT02097,P0043942,1,2024-04-05 10:39:23
CT05745,P0247954,2,2024-04-08 06:01:48
CT01464,P0003152,1,2024-04-04 06:03:40
CT05205,P0081145,1,2024-04-13 23:17:59
CT04137,P0299493,1,2024-04-09 15:49:01
CT01087,P0349804,1,2024-04-05 05:19:04
CT01156,P0100985,1,2024-04-09 18:56:15
CT05158,P0149037,4,2024-04-06 23:10:15
CT02115,P0290180,1,2024-04-01 15:05:57
CT00797,P0296060,1,2024-04-12 01:20:50
CT03843,P0192436,1,2024-04-03 01:00:14
CT03365,P0152932,1,2024-04-10 08:02:10
CT04779,P0035825,1,2024-04-06 06:34:19
CT05934,P0354931,3,2024-04-11 12:40:12
CT06475,P0315104,1,2024-04-07 23:02:55
CT01571,P0310067,1,2024-04-10 06:26:55
CT06248,P0324865,1,2024-04-04 07:50:18
CT05835,P0268609,2,2024-04-11 14:12:09
CT05299,P0291799,1,2024-04-06 16:20:52
CT00151,P0186545,1,2024-04-01 06:22:45
CT00628,P0220484,1,2024-04-05 15:55:41
CT02724,P0246025,1,2024-04-02 09:39:49
CT04381,P0158738,2,2024-04-07 03:32:05
CT01918,P0220937,1,2024-04-02 03:43:37
CT03656,P0214096,2,2024-04-05 22:36:05
CT04667,P0373635,1,2024-04-04 02:03:44
CT04569,P0182476,1,2024-04-09 12:28:19
CT00513,P0366060,1,2024-04-01 20:36:46
CT05251,P0234147,1,2024-04-06 07:19:23
CT04164,P0147759,1,2024-04-08 09:06:23
CT00956,P0042432,1,2024-04-10 17:22:01
CT05969,P0097174,1,2024-04-10 14:54:38
CT02007,P0311606,1,2024-04-07 14:12:03
CT04386,P0380363,1,2024-04-01 17:09:15
CT02916,P0080009,1,2024-04-07 05:23:49
CT00341,P0040705,1,2024-04-04 23:53:48
CT01670,P0290864,3,2024-04-08 20:58:08
CT06135,P0005640,1,2024-04-05 09:54:47
CT06088,P0046637,1,2024-04-02 13:46:25
CT00329,P0347657,2,2024-04-05 06:19:34
CT00619,P0321349,1,2024-04-04 20:32:10
CT03885,P0382800,3,2024-04-06 09:37:38
CT02398,P0219385,2,2024-04-06 20:12:55
CT00959,P0241110,1,2024-04-10 21:22:50
CT01411,P0245760,1,2024-04-14 00:02:30
CT01047,P0359184,1,2024-04-09 11:55:39
CT04458,P0293566,1,2024-04-10 18:43:03
CT03296,P0284883,7,2024-04-12 22:19:09
CT04776,P0077891,1,2024-04-07 22:13:31
CT02995,P0292748,3,2024-04-12 13:21:32
CT00598,P0021294,1,2024-04-14 01:00:46
CT00105,P0187639,1,2024-04-08 20:33:17
CT05985,P0272558,1,2024-04-13 23:13:27
CT03470,P0019554,1,2024-04-12 21:01:57
CT05529,P0235409,1,2024-04-02 11:08:59
CT02076,P0353226,1,2024-04-03 13:05:50
CT01403,P0253897,1,2024-04-10 11:58:51
CT05478,P0029769,2,2024-04-01 07:55:15
CT03366,P0218330,1,2024-04-13 13:24:53
CT03909,P0131143,1,2024-04-14 07:27:08
CT00408,P0005118,1,2024-04-14 00:13:58
CT06373,P0041781,1,2024-04-11 05:48:27
CT04150,P0341335,1,2024-04-14 18:54:44
CT06323,P0083751,1,2024-04-13 22:11:38
CT01685,P0276259,2,2024-04-05 22:59:23
CT00885,P0288885,2,2024-04-04 18:25:48
CT00159,P0151807,3,2024-04-12 13:57:39
CT00855,P0361926,1,2024-04-14 22:07:37
CT01485,P0100359,1,2024-04-01 06:16:13
CT00797,P0240468,1,2024-04-13 00:10:55
CT05390,P0348611,3,2024-04-12 03:10:37
CT04413,P0158093,1,2024-04-08 08:58:14
CT04597,P0164935,1,2024-04-08 21:51:38
CT01570,P0273077,1,2024-04-08 19:58:54
CT06223,P0303414,1,2024-04-08 15:59:50
CT04193,P0374957,1,2024-04-12 22:44:55
CT01733,P0037917,1,2024-04-06 06:35:46
CT04880,P0104341,1,2024-04-03 05:56:26
CT01562,P0146949,1,2024-04-05 16:12:50
CT03108,P0213051,1,2024-04-06 05:48:02
CT01032,P0255496,1,2024-04-08 04:45:34
CT01287,P0153957,1,2024-04-04 01:14:38
CT05523,P0368481,2,2024-04-06 23:13:48
CT03181,P0239430,1,2024-04-02 00:45:20
CT00996,P0141849,1,2024-04-01 15:08:15
CT03330,P0351442,1,2024-04-03 22:45:28
CT04094,P0278295,1,2024-04-02 14:52:31
CT02525,P0308129,1,2024-04-10 13:17:47
CT04542,P0327547,3,2024-04-12 12:44:23
CT02468,P0268962,5,2024-04-01 18:40:16
CT04557,P0266727,1,2024-04-05 18:16:28
CT03971,P0182876,1,2024-04-05 20:24:00
CT02378,P0050468,1,2024-04-07 14:12:01
CT05287,P0342252,2,2024-04-12 10:51:15
CT05316,P0095236,1,2024-04-02 11:29:23
CT03946,P0218053,1,2024-04-05 01:42:15
CT03200,P0118732,9,2024-04-04 06:45:56
CT01384,P0006170,2,2024-04-13 09:06:52
CT03554,P0123389,1,2024-04-06 10:26:40
CT04446,P0092814,1,2024-04-10 02:06:35
CT06230,P0021778,1,2024-04-08 05:37:32
CT01518,P0140971,1,2024-04-05 20:08:05
CT06117,P0185113,1,2024-04-02 00:57:49
CT06113,P0175652,1,2024-04-05 02:29:48
CT05981,P0380563,1,2024-04-13 19:26:10
CT03167,P0093495,1,2024-04-12 20:18:38
CT01401,P0259298,1,2024-04-03 02:18:00
CT04656,P0055668,1,2024-04-13 03:37:58
CT06187,P0137656,1,2024-04-04 05:35:34
CT05610,P0175276,1,2024-04-04 18:10:07
CT00117,P0275298,3,2024-04-14 03:07:17
CT02654,P0332044,1,2024-04-02 02:50:00
CT06367,P0025510,2,2024-04-11 01:33:44
CT02808,P0337285,1,2024-04-07 17:21:09
CT00718,P0221325,1,2024-04-04 05:16:07
CT04732,P0255285,2,2024-04-07 05:13:58
CT04923,P0161044,1,2024-04-03 03:32:18
CT05406,P0095920,1,2024-04-12 00:18:56
CT04122,P0360098,2,2024-04-07 17:21:07
CT03281,P0261635,2,2024-04-04 21:38:21
CT06407,P0184610,2,2024-04-01 03:52:08
CT01363,P0287983,10,2024-04-03 10:24:29
CT05442,P0046845,1,2024-04-13 09:42:37
CT05529,P0235687,1,2024-04-13 17:18:24
CT03786,P0265111,1,2024-04-12 02:21:51
CT05050,P0096707,1,2024-04-04 02:06:41
CT02677,P0284574,2,2024-04-08 10:54:00
CT01091,P0320521,2,2024-04-06 01:25:28
CT02831,P0002538,2,2024-04-10 19:41:22
CT04202,P0288330,2,2024-04-11 05:40:42
CT01852,P0140089,1,2024-04-08 19:52:38
CT01101,P0004997,1,2024-04-11 13:49:49
CT00931,P0323024,1,2024-04-06 04:49:55
CT04807,P0149787,1,2024-04-04 06:09:12
CT05808,P0271057,1,2024-04-05 16:37:25
CT01211,P0170387,1,2024-04-03 17:32:12
CT00666,P0257857,1,2024-04-02 18:20:31
CT03923,P0211801,1,2024-04-05 01:17:45
CT00942,P0126009,2,2024-04-04 04:29:29
CT04323,P0157899,1,2024-04-11 12:10:43
CT05273,P0383992,1,2024-04-03 18:27:30
CT01487,P0053448,1,2024-04-12 03:53:21
CT05361,P0232887,2,2024-04-07 16:11:32
CT06489,P0251353,2,2024-04-03 05:09:56
CT02798,P0254266,1,2024-04-10 21:47:10
CT06453,P0363258,2,2024-04-07 14:37:05
CT01932,P0063456,1,2024-04-08 14:42:56
CT01970,P0093801,2,2024-04-11 09:20:37
CT02496,P0134995,1,2024-04-13 08:49:26
CT05694,P0367964,1,2024-04-02 20:07:12
CT00515,P0074072,1,2024-04-03 10:44:03
CT04816,P0025995,1,2024-04-11 06:21:58
CT00748,P0003272,1,2024-04-10 06:29:57
CT00996,P0052880,1,2024-04-01 21:50:03
CT05490,P0080903,2,2024-04-10 08:08:14
CT05910,P0179115,1,2024-04-14 09:36:41
CT02092,P0126315,1,2024-04-10 13:45:20
CT00016,P0225048,1,2024-04-13 00:33:17
CT05011,P0172057,10,2024-04-11 22:12:08
CT05450,P0215597,2,2024-04-02 11:51:50
CT04305,P0096623,1,2024-04-05 23:48:39
CT04808,P0289160,2,2024-04-11 02:29:26
CT02779,P0298175,1,2024-04-13 20:20:10
CT01284,P0085014,4,2024-04-01 07:35:23
CT03026,P0294883,1,2024-04-07 05:53:32
CT05168,P0341212,1,2024-04-10 21:47:24
CT02258,P0259462,2,2024-04-12 04:04:17
CT03767,P0096843,2,2024-04-09 21:52:31
CT02082,P0257671,1,2024-04-01 12:42:02
CT03952,P0274976,1,2024-04-10 20:16:15
CT02544,P0110068,2,2024-04-10 12:43:34
CT04462,P0214653,2,2024-04-08 14:58:27
CT05348,P0140415,1,2024-04-07 10:48:43
CT03402,P0145572,6,2024-04-13 11:56:57
CT04341,P0243117,1,2024-04-10 23:32:19
CT04355,P0254490,1,2024-04-07 01:21:50
CT05792,P0214390,1,2024-04-01 07:21:09
CT02438,P0199220,1,2024-04-10 09:53:42
CT02660,P0163844,1,2024-04-10 00:14:03
CT06144,P0038185,1,2024-04-13 20:34:35
CT04728,P0236948,1,2024-04-08 15:55:36
CT04132,P0265400,1,2024-04-04 08:49:29
CT01552,P0309511,1,2024-04-09 00:24:48
CT05266,P0319265,1,2024-04-12 23:15:03
CT03605,P0374381,1,2024-04-05 14:17:47
CT01791,P0355333,1,2024-04-05 21:31:14
CT04797,P0162946,1,2024-04-03 21:11:05
CT00900,P0305756,1,2024-04-01 19:39:21
CT03464,P0189853,1,2024-04-02 22:38:06
CT02642,P0049940,1,2024-04-13 11:21:42
CT03009,P0087642,1,2024-04-14 04:44:26
CT01364,P0034085,3,2024-04-01 23:46:13
CT04484,P0129005,1,2024-04-11 07:15:03
CT00195,P0246044,1,2024-04-10 09:11:02
CT01647,P0374993,1,2024-04-13 01:21:48
CT01953,P0226865,3,2024-04-12 17:09:44
CT05455,P0249952,2,2024-04-12 19:49:20
CT06359,P0276140,2,2024-04-08 13:49:11
CT05850,P0094101,3,2024-04-07 16:59:58
CT01501,P0168894,1,2024-04-06 16:14:06
CT00612,P0080864,1,2024-04-04 08:03:19
CT04445,P0281834,2,2024-04-09 05:49:40
CT00411,P0032743,1,2024-04-11 15:49:30
CT03206,P0348307,1,2024-04-06 19:01:32
CT01375,P0277196,1,2024-04-03 16:28:42
CT02105,P0199863,1,2024-04-06 04:32:52
CT03458,P0054582,2,2024-04-06 02:05:20
CT05463,P0276488,1,2024-04-05 17:12:41
CT01668,P0341881,1,2024-04-02 22:50:51
CT06193,P0052305,1,2024-04-11 02:25:27
CT04090,P0103553,3,2024-04-07 14:08:10
CT02808,P0296981,2,2024-04-14 04:29:10
CT02102,P0196204,1,2024-04-13 23:42:49
CT00610,P0209239,1,2024-04-14 14:23:46
CT04670,P0052029,2,2024-04-08 20:23:15
CT01529,P0110731,2,2024-04-12 23:26:04
CT05778,P0283968,1,2024-04-08 15:51:05
CT01880,P0229515,2,2024-04-13 17:42:15
CT06370,P0363938,1,2024-04-11 22:06:16
CT05592,P0045178,1,2024-04-02 14:25:25
CT00399,P0069329,1,2024-04-01 14:42:49
CT00747,P0336385,1,2024-04-01 08:10:30
CT00886,P0031425,1,2024-04-01 05:29:58
CT02559,P0020370,2,2024-04-05 18:51:47
CT04284,P0215292,1,2024-04-02 20:09:00
CT01753,P0042349,2,2024-04-07 15:30:27
CT06300,P0115589,1,2024-04-04 22:33:33
CT05312,P0282563,1,2024-04-11 04:38:26
CT00697,P0223233,1,2024-04-07 11:15:22
CT04288,P0242969,1,2024-04-05 15:41:59
CT05248,P0008004,1,2024-04-01 13:43:57
CT05844,P0167415,2,2024-04-05 15:23:46
CT00858,P0310238,1,2024-04-02 09:48:37
CT00426,P0307796,1,2024-04-13 17:26:38
CT00817,P0115067,1,2024-04-05 08:44:34
CT01372,P0011335,1,2024-04-06 08:23:17
CT04325,P0017277,1,2024-04-14 15:12:57
CT00841,P0353751,1,2024-04-01 21:19:47
CT01934,P0152326,1,2024-04-04 14:33:05
CT04584,P0091445,1,2024-04-11 21:39:06
CT01823,P0006018,1,2024-04-02 20:32:35
CT01960,P0141156,1,2024-04-13 17:04:30
CT06107,P0200953,6,2024-04-03 04:26:13
CT02475,P0067124,1,2024-04-09 08:43:54
CT03754,P0257189,2,2024-04-12 12:08:45
CT01448,P0106794,1,2024-04-05 16:53:27
CT01006,P0332772,1,2024-04-06 21:17:26
CT00156,P0228351,1,2024-04-10 21:53:43
CT05604,P0323006,2,2024-04-09 06:04:33
CT00763,P0288632,1,2024-04-03 22:17:52
CT02101,P0031246,2,2024-04-10 10:03:24
CT02780,P0211699,1,2024-04-10 00:34:42
CT02885,P0222878,2,2024-04-01 18:25:56
CT04133,P0259499,1,2024-04-13 21:56:11
CT00739,P0230531,1,2024-04-08 21:20:25
CT06049,P0237114,4,2024-04-07 05:30:37
CT01380,P0246832,3,2024-04-07 14:00:51
CT06021,P0297744,1,2024-04-14 23:56:38
CT00439,P0229290,1,2024-04-02 12:25:41
CT04042,P0286222,1,2024-04-14 21:25:06
CT01310,P0295326,2,2024-04-05 04:21:30
CT03957,P0214076,1,2024-04-12 16:38:37
CT05438,P0021977,2,2024-04-12 23:44:10
CT01494,P0269773,1,2024-04-08 07:48:48
CT04703,P0010398,2,2024-04-01 12:09:52
CT00591,P0011611,1,2024-04-01 15:58:04
