refund_id,purchase_id,refund_reason,refund_amount,refund_status,refund_money,last_update
RF0000032,PR0000143,7-day no-reason return (primary option),1,pending,11.98,2024-06-22 04:14:04
RF0000033,PR0000105,7-day no-reason return (primary option),1,pending,20.95,2024-06-28 05:26:36
RF0000034,PR0000053,Wrong/incorrect order fulfillment,1,pending,9.57,2024-06-19 14:12:32
RF0000035,PR0000100,Product quality issues,1,pending,5.87,2024-06-19 00:56:05
RF0000036,PR0000128,7-day no-reason return (primary option),1,pending,311.37,2024-06-30 01:06:36
RF0000037,PR0000139,7-day no-reason return (primary option),2,pending,58.3,2024-06-16 23:18:47
RF0000038,PR0000136,Other personal reasons,1,pending,17.96,2024-06-27 13:06:53
RF0000039,PR0000153,7-day no-reason return (primary option),3,pending,8.94,2024-06-24 09:59:18
RF0000040,PR0000137,7-day no-reason return (primary option),1,pending,3.59,2024-06-17 22:44:01
RF0000041,PR0000024,Logistics / Unboxing issues,1,pending,19.15,2024-06-30 19:26:41
RF0000042,PR0000072,Item not as described,1,pending,14.36,2024-06-27 17:40:38
RF0000043,PR0000051,Product quality issues,1,pending,17.95,2024-06-23 06:58:56
RF0000044,PR0000182,Wrong/incorrect order fulfillment,1,pending,208.26,2024-06-24 18:41:51
RF0000045,PR0000194,7-day no-reason return (primary option),1,pending,191.6,2024-06-27 11:36:40
RF0000046,PR0000122,Item not as described,1,pending,11.96,2024-06-27 00:28:46
RF0000047,PR0000101,7-day no-reason return (primary option),1,pending,17.93,2024-06-24 09:55:18
RF0000048,PR0000070,Product quality issues,3,pending,35.88,2024-06-28 14:36:38
RF0000049,PR0000062,Item not as described,1,pending,16.77,2024-06-25 04:13:16
RF0000050,PR0000096,7-day no-reason return (primary option),1,pending,17.95,2024-06-21 03:43:56
RF0000051,PR0000145,7-day no-reason return (primary option),1,pending,8.37,2024-06-19 15:18:37
RF0000052,PR0000080,Product quality issues,2,pending,31.12,2024-06-30 02:59:15
RF0000053,PR0000114,7-day no-reason return (primary option),2,pending,15.5,2024-06-25 05:32:45
RF0000054,PR0000092,7-day no-reason return (primary option),1,pending,5.99,2024-06-30 10:24:56
RF0000055,PR0000181,7-day no-reason return (primary option),1,pending,4.49,2024-06-30 18:23:26
RF0000056,PR0000066,Other personal reasons,1,pending,43.1,2024-06-26 09:05:16
RF0000057,PR0000087,Logistics / Unboxing issues,1,pending,10.18,2024-06-23 10:31:00
RF0000058,PR0000135,7-day no-reason return (primary option),2,pending,119.74,2024-06-24 05:21:22
RF0000059,PR0000228,7-day no-reason return (primary option),1,pending,89.7,2024-06-27 05:46:54
RF0000060,PR0000102,Product quality issues,1,pending,2.38,2024-06-19 00:41:05
RF0000061,PR0000060,7-day no-reason return (primary option),1,pending,41.9,2024-06-28 23:00:52
RF0000062,PR0000046,7-day no-reason return (primary option),1,pending,107.77,2024-06-20 22:54:12
RF0000063,PR0000088,7-day no-reason return (primary option),1,pending,7.17,2024-06-17 10:36:52
RF0000064,PR0000209,7-day no-reason return (primary option),1,pending,13.16,2024-06-20 05:41:17
RF0000065,PR0000173,7-day no-reason return (primary option),1,pending,1.26,2024-06-24 14:02:37
RF0000066,PR0000124,7-day no-reason return (primary option),1,pending,29.93,2024-06-30 18:35:41
RF0000067,PR0000083,7-day no-reason return (primary option),1,pending,21.54,2024-06-30 13:48:36
RF0000068,PR0000152,Wrong/incorrect order fulfillment,1,pending,55.93,2024-06-18 10:03:20
RF0000069,PR0000097,7-day no-reason return (primary option),1,pending,4.79,2024-06-30 02:27:45
RF0000070,PR0000168,Logistics / Unboxing issues,1,pending,31.13,2024-06-25 22:33:14
RF0000071,PR0000119,Product quality issues,2,pending,54.98,2024-06-30 01:31:45
RF0000072,PR0000040,Wrong/incorrect order fulfillment,1,pending,59.87,2024-06-24 00:58:53
RF0000073,PR0000253,Logistics / Unboxing issues,1,pending,51.38,2024-06-28 19:16:02
RF0000074,PR0000235,7-day no-reason return (primary option),2,pending,62.26,2024-06-23 01:22:56
RF0000075,PR0000038,7-day no-reason return (primary option),2,pending,38.22,2024-06-18 00:48:29
RF0000076,PR0000094,Logistics / Unboxing issues,1,pending,71.84,2024-06-25 00:11:12
RF0000077,PR0000255,7-day no-reason return (primary option),1,pending,10.77,2024-06-28 20:22:58
RF0000078,PR0000167,7-day no-reason return (primary option),1,pending,95.8,2024-06-30 07:42:24
RF0000079,PR0000264,Product quality issues,1,pending,9.57,2024-06-30 18:08:56
RF0000080,PR0000147,7-day no-reason return (primary option),1,pending,10.77,2024-06-16 11:12:16
RF0000081,PR0000019,Wrong/incorrect order fulfillment,1,pending,14.36,2024-06-28 14:02:11
RF0000082,PR0000150,Item not as described,1,pending,23.94,2024-06-23 20:11:38
RF0000083,PR0000229,Item not as described,1,pending,11.96,2024-06-16 21:14:00
RF0000084,PR0000195,Product quality issues,1,pending,39.4,2024-06-16 00:29:06
RF0000085,PR0000279,Logistics / Unboxing issues,1,pending,13.17,2024-06-25 14:23:53
RF0000086,PR0000035,Other personal reasons,1,pending,11.96,2024-06-21 09:10:06
RF0000087,PR0000204,Product quality issues,1,pending,5.98,2024-06-26 20:11:10
RF0000088,PR0000045,Product quality issues,1,pending,15.56,2024-06-29 06:49:47
RF0000089,PR0000231,Product quality issues,1,pending,215.57,2024-06-22 18:40:01
RF0000090,PR0000112,Logistics / Unboxing issues,1,pending,35.92,2024-06-27 21:28:08
RF0000091,PR0000179,Product quality issues,1,pending,17.96,2024-06-16 09:34:48
RF0000092,PR0000180,7-day no-reason return (primary option),1,pending,11.92,2024-06-21 21:47:01
RF0000093,PR0000110,Logistics / Unboxing issues,1,pending,10.49,2024-06-21 07:42:06
RF0000094,PR0000248,Item not as described,1,pending,119.75,2024-06-23 06:25:20
RF0000095,PR0000033,Wrong/incorrect order fulfillment,2,pending,23.92,2024-06-22 11:24:57
RF0000096,PR0000086,Product quality issues,1,pending,23.94,2024-06-25 01:27:28
RF0000097,PR0000293,7-day no-reason return (primary option),1,pending,9.57,2024-06-29 08:22:00
RF0000098,PR0000177,Logistics / Unboxing issues,1,pending,203.53,2024-06-20 17:52:04
RF0000099,PR0000064,7-day no-reason return (primary option),1,pending,47.89,2024-06-28 05:05:02
RF0000100,PR0000298,7-day no-reason return (primary option),1,pending,17.95,2024-06-20 08:49:21
RF0000101,PR0000309,7-day no-reason return (primary option),1,pending,3.58,2024-06-29 03:40:49
RF0000102,PR0000084,Logistics / Unboxing issues,1,pending,5.98,2024-06-29 09:09:27
RF0000103,PR0000169,Logistics / Unboxing issues,1,pending,15.56,2024-06-24 13:45:28
RF0000104,PR0000200,7-day no-reason return (primary option),1,pending,1578.14,2024-06-20 10:47:40
RF0000105,PR0000213,Logistics / Unboxing issues,1,pending,6.1,2024-06-23 12:52:47
RF0000106,PR0000185,7-day no-reason return (primary option),1,pending,19.15,2024-06-16 22:47:47
RF0000107,PR0000269,Item not as described,2,pending,239.5,2024-06-29 03:15:18
RF0000108,PR0000258,7-day no-reason return (primary option),1,pending,35.92,2024-06-20 21:21:32
RF0000109,PR0000324,7-day no-reason return (primary option),2,pending,131.72,2024-06-22 21:40:06
RF0000110,PR0000267,Logistics / Unboxing issues,1,pending,96.99,2024-06-16 23:32:36
RF0000111,PR0000249,7-day no-reason return (primary option),3,pending,12.18,2024-06-22 13:46:26
RF0000112,PR0000184,Product quality issues,1,pending,57.37,2024-06-24 07:55:32
RF0000113,PR0000091,7-day no-reason return (primary option),1,pending,5.98,2024-06-22 23:39:14
RF0000114,PR0000337,Product quality issues,1,pending,15.56,2024-06-21 18:26:16
RF0000115,PR0000069,7-day no-reason return (primary option),1,pending,31.13,2024-06-30 15:41:05
RF0000116,PR0000081,7-day no-reason return (primary option),1,pending,11.96,2024-06-25 12:03:27
RF0000117,PR0000063,7-day no-reason return (primary option),1,pending,11.96,2024-06-22 10:21:45
RF0000118,PR0000007,Logistics / Unboxing issues,1,pending,17.95,2024-06-21 03:08:54
RF0000119,PR0000196,7-day no-reason return (primary option),1,pending,2.98,2024-06-21 03:51:44
RF0000120,PR0000026,7-day no-reason return (primary option),2,pending,57.46,2024-06-22 10:31:58
RF0000121,PR0000161,Item not as described,1,pending,15.56,2024-06-29 22:40:45
RF0000122,PR0000252,7-day no-reason return (primary option),1,pending,8.37,2024-06-20 12:00:41
RF0000123,PR0000186,7-day no-reason return (primary option),1,pending,35.33,2024-06-21 04:31:29
RF0000124,PR0000289,7-day no-reason return (primary option),1,pending,465.81,2024-06-18 18:10:25
RF0000125,PR0000076,7-day no-reason return (primary option),1,pending,26.34,2024-06-29 02:01:39
RF0000126,PR0000284,Product quality issues,1,pending,11.26,2024-06-27 04:42:24
RF0000127,PR0000125,Wrong/incorrect order fulfillment,1,pending,150.86,2024-06-30 12:04:34
RF0000128,PR0000140,7-day no-reason return (primary option),1,pending,43.1,2024-06-30 04:43:55
RF0000129,PR0000319,7-day no-reason return (primary option),1,pending,4.54,2024-06-23 20:14:15
RF0000130,PR0000111,Other personal reasons,1,pending,19.15,2024-06-18 02:42:02
RF0000131,PR0000027,7-day no-reason return (primary option),1,pending,13.16,2024-06-20 08:47:27
RF0000132,PR0000273,7-day no-reason return (primary option),1,pending,37.08,2024-06-29 14:56:58
RF0000133,PR0000222,Item not as described,1,pending,19.15,2024-06-21 04:17:01
RF0000134,PR0000175,7-day no-reason return (primary option),1,pending,15.56,2024-06-20 18:17:21
RF0000135,PR0000299,Logistics / Unboxing issues,1,pending,4.13,2024-06-28 00:15:28
RF0000136,PR0000329,Item not as described,1,pending,17.96,2024-06-26 01:53:05
RF0000137,PR0000085,7-day no-reason return (primary option),1,pending,29.93,2024-06-28 11:50:58
RF0000138,PR0000377,7-day no-reason return (primary option),2,pending,215.44,2024-06-25 16:32:47
RF0000139,PR0000082,Item not as described,1,pending,11.96,2024-06-23 02:50:11
RF0000140,PR0000300,Wrong/incorrect order fulfillment,1,pending,3.52,2024-06-29 08:17:29
RF0000141,PR0000199,Product quality issues,1,pending,77.83,2024-06-30 21:11:12
RF0000142,PR0000345,7-day no-reason return (primary option),1,pending,636.06,2024-06-25 04:09:07
RF0000143,PR0000193,Other personal reasons,1,pending,20.35,2024-06-25 19:21:21
RF0000144,PR0000050,Item not as described,1,pending,4.78,2024-06-25 23:06:42
RF0000145,PR0000188,7-day no-reason return (primary option),2,pending,799.72,2024-06-25 02:17:28
RF0000146,PR0000335,7-day no-reason return (primary option),1,pending,29.93,2024-06-19 01:41:48
RF0000147,PR0000359,Item not as described,1,pending,11.96,2024-06-19 10:40:58
RF0000148,PR0000320,Product quality issues,2,pending,23.92,2024-06-26 23:23:27
RF0000149,PR0000241,7-day no-reason return (primary option),1,pending,11.96,2024-06-22 19:19:55
RF0000150,PR0000334,7-day no-reason return (primary option),2,pending,32.32,2024-06-26 03:24:40
RF0000151,PR0000104,Wrong/incorrect order fulfillment,1,pending,19.76,2024-06-28 17:53:43
RF0000152,PR0000171,7-day no-reason return (primary option),1,pending,11.96,2024-06-22 12:44:25
RF0000153,PR0000107,Logistics / Unboxing issues,1,pending,5.99,2024-06-25 19:07:43
RF0000154,PR0000390,7-day no-reason return (primary option),1,pending,21.54,2024-06-20 17:04:30
RF0000155,PR0000306,Item not as described,1,pending,17.95,2024-06-20 03:38:20
RF0000156,PR0000230,7-day no-reason return (primary option),1,pending,11.96,2024-06-26 14:39:31
RF0000157,PR0000397,7-day no-reason return (primary option),1,pending,17.95,2024-06-28 18:58:35
RF0000158,PR0000197,Product quality issues,3,pending,53.79,2024-06-20 09:19:36
RF0000159,PR0000416,Wrong/incorrect order fulfillment,3,pending,416.67,2024-06-29 02:30:09
RF0000160,PR0000220,Logistics / Unboxing issues,1,pending,19.15,2024-06-16 01:21:03
RF0000161,PR0000113,7-day no-reason return (primary option),1,pending,9.57,2024-06-23 21:51:27
RF0000162,PR0000332,7-day no-reason return (primary option),2,pending,14.34,2024-06-24 15:34:52
RF0000163,PR0000354,7-day no-reason return (primary option),2,pending,13.9,2024-06-16 16:10:08
RF0000164,PR0000277,7-day no-reason return (primary option),2,pending,19.14,2024-06-23 03:43:16
RF0000165,PR0000212,7-day no-reason return (primary option),2,pending,215.54,2024-06-21 01:14:40
RF0000166,PR0000223,7-day no-reason return (primary option),1,pending,7.84,2024-06-23 07:27:27
RF0000167,PR0000157,7-day no-reason return (primary option),1,pending,38.91,2024-06-27 08:17:44
RF0000168,PR0000116,7-day no-reason return (primary option),1,pending,35.92,2024-06-29 04:05:15
RF0000169,PR0000316,7-day no-reason return (primary option),2,pending,1067.44,2024-06-25 06:42:52
RF0000170,PR0000296,7-day no-reason return (primary option),1,pending,14.37,2024-06-23 23:38:10
RF0000171,PR0000427,7-day no-reason return (primary option),1,pending,19.15,2024-06-21 06:15:23
RF0000172,PR0000240,7-day no-reason return (primary option),1,pending,21.54,2024-06-22 14:09:08
RF0000173,PR0000361,Logistics / Unboxing issues,1,pending,11.96,2024-06-16 06:26:57
RF0000174,PR0000368,Item not as described,2,pending,19.14,2024-06-29 23:48:59
RF0000175,PR0000347,7-day no-reason return (primary option),1,pending,4.78,2024-06-19 08:11:32
RF0000176,PR0000323,7-day no-reason return (primary option),2,pending,23.92,2024-06-27 04:55:46
RF0000177,PR0000176,Product quality issues,1,pending,1065.75,2024-06-16 09:02:07
RF0000178,PR0000387,7-day no-reason return (primary option),2,pending,43.08,2024-06-27 16:14:53
RF0000179,PR0000215,7-day no-reason return (primary option),2,pending,23.92,2024-06-20 23:08:19
RF0000180,PR0000301,7-day no-reason return (primary option),1,pending,23.95,2024-06-17 11:25:17
RF0000181,PR0000266,7-day no-reason return (primary option),1,pending,26.3,2024-06-28 15:22:05
RF0000182,PR0000291,7-day no-reason return (primary option),3,pending,17.97,2024-06-30 08:02:59
RF0000183,PR0000355,7-day no-reason return (primary option),2,pending,26.78,2024-06-26 03:10:44
RF0000184,PR0000367,7-day no-reason return (primary option),1,pending,27.53,2024-06-28 08:26:09
RF0000185,PR0000322,Other personal reasons,1,pending,171.36,2024-06-17 06:08:26
RF0000186,PR0000356,Product quality issues,1,pending,11.96,2024-06-20 04:58:13
RF0000187,PR0000158,Wrong/incorrect order fulfillment,1,pending,100.6,2024-06-28 09:51:45
RF0000188,PR0000121,Other personal reasons,1,pending,7.17,2024-06-28 20:01:03
RF0000189,PR0000443,Item not as described,1,pending,11.02,2024-06-20 02:08:39
RF0000190,PR0000280,Wrong/incorrect order fulfillment,1,pending,21.54,2024-06-23 07:38:02
RF0000191,PR0000178,7-day no-reason return (primary option),1,pending,11.96,2024-06-16 21:06:37
RF0000192,PR0000183,7-day no-reason return (primary option),1,pending,23.94,2024-06-20 03:11:37
RF0000193,PR0000351,7-day no-reason return (primary option),1,pending,10.77,2024-06-26 22:16:18
RF0000194,PR0000219,Product quality issues,2,pending,23.92,2024-06-24 13:11:07
RF0000195,PR0000451,7-day no-reason return (primary option),1,pending,290.77,2024-06-17 17:08:23
RF0000196,PR0000132,Product quality issues,1,pending,14.37,2024-06-25 10:24:41
RF0000197,PR0000211,7-day no-reason return (primary option),1,pending,1.78,2024-06-23 19:57:08
RF0000198,PR0000160,Item not as described,1,pending,31.02,2024-06-23 20:55:47
RF0000199,PR0000189,7-day no-reason return (primary option),1,pending,87.17,2024-06-29 19:38:05
RF0000200,PR0000192,7-day no-reason return (primary option),1,pending,186.11,2024-06-26 00:41:02
RF0000201,PR0000174,7-day no-reason return (primary option),1,pending,108.6,2024-06-21 01:04:17
RF0000202,PR0000275,7-day no-reason return (primary option),1,pending,10.78,2024-06-30 06:29:15
RF0000203,PR0000414,Wrong/incorrect order fulfillment,1,pending,12.19,2024-06-28 18:18:30
RF0000204,PR0000422,7-day no-reason return (primary option),1,pending,46.47,2024-06-25 23:17:30
RF0000205,PR0000308,7-day no-reason return (primary option),1,pending,23.94,2024-06-29 14:19:10
RF0000206,PR0000218,7-day no-reason return (primary option),1,pending,19.15,2024-06-28 05:27:23
RF0000207,PR0000409,Item not as described,2,pending,43.08,2024-06-18 09:46:32
RF0000208,PR0000304,7-day no-reason return (primary option),1,pending,22.74,2024-06-23 09:00:17
RF0000209,PR0000473,7-day no-reason return (primary option),2,pending,47.88,2024-06-17 08:57:45
RF0000210,PR0000310,Item not as described,4,pending,28.76,2024-06-18 11:36:12
RF0000211,PR0000268,7-day no-reason return (primary option),1,pending,107.66,2024-06-24 22:10:47
RF0000212,PR0000327,Product quality issues,1,pending,53.89,2024-06-25 17:03:01
RF0000213,PR0000381,7-day no-reason return (primary option),1,pending,35.92,2024-06-26 07:40:13
RF0000214,PR0000297,7-day no-reason return (primary option),2,pending,64.64,2024-06-24 04:25:53
RF0000215,PR0000315,Other personal reasons,1,pending,47.31,2024-06-29 13:07:41
RF0000216,PR0000477,Wrong/incorrect order fulfillment,1,pending,3.59,2024-06-19 10:48:18
RF0000217,PR0000246,Logistics / Unboxing issues,3,pending,35.88,2024-06-28 02:17:40
RF0000218,PR0000170,7-day no-reason return (primary option),2,pending,59.86,2024-06-23 14:45:47
RF0000219,PR0000254,Logistics / Unboxing issues,1,pending,4.79,2024-06-22 08:36:09
RF0000220,PR0000431,7-day no-reason return (primary option),1,pending,838.32,2024-06-26 00:45:56
RF0000221,PR0000499,Logistics / Unboxing issues,1,pending,9.57,2024-06-18 17:08:40
RF0000222,PR0000257,Wrong/incorrect order fulfillment,1,pending,7.13,2024-06-28 20:51:39
RF0000223,PR0000326,7-day no-reason return (primary option),1,pending,35.93,2024-06-24 11:03:16
RF0000224,PR0000446,Logistics / Unboxing issues,3,pending,57.45,2024-06-25 20:09:05
RF0000225,PR0000350,7-day no-reason return (primary option),2,pending,35.9,2024-06-25 20:56:34
RF0000226,PR0000271,7-day no-reason return (primary option),2,pending,45.68,2024-06-22 15:41:16
RF0000227,PR0000325,Wrong/incorrect order fulfillment,1,pending,34.72,2024-06-21 10:38:21
RF0000228,PR0000421,Logistics / Unboxing issues,1,pending,7.16,2024-06-30 14:52:39
RF0000229,PR0000206,7-day no-reason return (primary option),1,pending,71.84,2024-06-30 17:29:37
RF0000230,PR0000470,Product quality issues,2,pending,28.72,2024-06-20 14:52:56
RF0000231,PR0000444,Other personal reasons,1,pending,19.15,2024-06-23 14:58:47
RF0000232,PR0000484,Logistics / Unboxing issues,1,pending,8.37,2024-06-21 21:10:23
RF0000233,PR0000506,7-day no-reason return (primary option),1,pending,8.37,2024-06-24 04:39:30
RF0000234,PR0000417,Wrong/incorrect order fulfillment,1,pending,14.36,2024-06-22 16:55:03
RF0000235,PR0000201,Wrong/incorrect order fulfillment,1,pending,8.91,2024-06-18 01:53:14
RF0000236,PR0000217,7-day no-reason return (primary option),1,pending,287.31,2024-06-30 11:18:26
RF0000237,PR0000412,Logistics / Unboxing issues,1,pending,1.92,2024-06-23 07:41:55
RF0000238,PR0000492,Wrong/incorrect order fulfillment,2,pending,31.12,2024-06-17 03:14:27
RF0000239,PR0000239,Product quality issues,1,pending,15.56,2024-06-24 16:20:40
RF0000240,PR0000232,7-day no-reason return (primary option),2,pending,35.9,2024-06-28 15:44:09
RF0000241,PR0000398,Logistics / Unboxing issues,1,pending,47.78,2024-06-16 22:47:46
RF0000242,PR0000338,Wrong/incorrect order fulfillment,1,pending,23.94,2024-06-24 23:12:48
RF0000243,PR0000234,7-day no-reason return (primary option),1,pending,9.58,2024-06-19 11:07:48
RF0000244,PR0000519,7-day no-reason return (primary option),1,pending,11.96,2024-06-20 04:52:29
RF0000245,PR0000290,Item not as described,1,pending,9.58,2024-06-28 14:12:54
RF0000246,PR0000210,Product quality issues,1,pending,156.24,2024-06-16 00:12:29
RF0000247,PR0000534,7-day no-reason return (primary option),1,pending,11.96,2024-06-22 04:38:22
RF0000248,PR0000221,7-day no-reason return (primary option),1,pending,23.94,2024-06-21 23:30:17
RF0000249,PR0000439,7-day no-reason return (primary option),1,pending,47.84,2024-06-29 10:42:13
RF0000250,PR0000382,7-day no-reason return (primary option),2,pending,11.96,2024-06-29 21:37:53
RF0000251,PR0000411,Item not as described,2,pending,828.4,2024-06-20 19:40:53
RF0000252,PR0000305,7-day no-reason return (primary option),1,pending,280.0,2024-06-27 06:41:31
RF0000253,PR0000374,7-day no-reason return (primary option),1,pending,17.95,2024-06-22 11:46:09
RF0000254,PR0000434,7-day no-reason return (primary option),1,pending,5.98,2024-06-19 01:38:20
RF0000255,PR0000438,7-day no-reason return (primary option),1,pending,35.92,2024-06-23 11:00:08
RF0000256,PR0000394,7-day no-reason return (primary option),1,pending,4.18,2024-06-18 12:39:29
RF0000257,PR0000498,7-day no-reason return (primary option),1,pending,47.89,2024-06-29 05:42:54
RF0000258,PR0000533,7-day no-reason return (primary option),1,pending,43.1,2024-06-24 19:45:44
RF0000259,PR0000331,7-day no-reason return (primary option),1,pending,2.98,2024-06-18 06:40:53
RF0000260,PR0000531,Wrong/incorrect order fulfillment,1,pending,17.95,2024-06-20 17:54:37
RF0000261,PR0000564,Product quality issues,1,pending,13.76,2024-06-20 05:01:28
RF0000262,PR0000380,Product quality issues,1,pending,35.92,2024-06-23 01:08:58
RF0000263,PR0000294,7-day no-reason return (primary option),1,pending,23.94,2024-06-30 13:57:18
RF0000264,PR0000292,7-day no-reason return (primary option),1,pending,9.57,2024-06-28 01:44:21
RF0000265,PR0000490,7-day no-reason return (primary option),1,pending,25.14,2024-06-27 04:49:11
RF0000266,PR0000388,7-day no-reason return (primary option),1,pending,10.89,2024-06-26 07:20:51
RF0000267,PR0000437,Product quality issues,3,pending,35.88,2024-06-16 12:16:33
RF0000268,PR0000419,Product quality issues,1,pending,23.94,2024-06-22 08:55:23
RF0000269,PR0000430,7-day no-reason return (primary option),1,pending,11.96,2024-06-26 00:12:10
RF0000270,PR0000488,Item not as described,1,pending,11.96,2024-06-24 18:39:36
RF0000271,PR0000554,7-day no-reason return (primary option),1,pending,17.95,2024-06-18 06:14:12
RF0000272,PR0000558,Logistics / Unboxing issues,1,pending,17.95,2024-06-29 10:55:01
RF0000273,PR0000352,Wrong/incorrect order fulfillment,1,pending,65.87,2024-06-16 03:14:17
RF0000274,PR0000372,Wrong/incorrect order fulfillment,1,pending,4.18,2024-06-26 11:29:08
RF0000275,PR0000260,Product quality issues,1,pending,29.93,2024-06-22 04:49:51
RF0000276,PR0000383,Logistics / Unboxing issues,1,pending,10.72,2024-06-25 12:24:59
RF0000277,PR0000357,7-day no-reason return (primary option),3,pending,111.39,2024-06-17 18:36:37
RF0000278,PR0000536,Item not as described,1,pending,35.92,2024-06-28 16:24:22
RF0000279,PR0000287,7-day no-reason return (primary option),1,pending,4.49,2024-06-23 10:11:06
RF0000280,PR0000517,7-day no-reason return (primary option),2,pending,71.84,2024-06-19 04:02:42
RF0000281,PR0000288,Logistics / Unboxing issues,1,pending,59.87,2024-06-19 15:08:17
RF0000282,PR0000466,7-day no-reason return (primary option),1,pending,15.56,2024-06-29 16:50:43
RF0000283,PR0000452,Wrong/incorrect order fulfillment,1,pending,3.58,2024-06-22 03:29:16
RF0000284,PR0000529,Logistics / Unboxing issues,1,pending,10.77,2024-06-21 14:15:04
RF0000285,PR0000597,Item not as described,1,pending,7.17,2024-06-23 05:45:18
RF0000286,PR0000562,7-day no-reason return (primary option),3,pending,89.79,2024-06-18 03:06:24
RF0000287,PR0000403,Wrong/incorrect order fulfillment,2,pending,38.08,2024-06-17 09:22:01
RF0000288,PR0000541,7-day no-reason return (primary option),1,pending,77.84,2024-06-19 07:25:44
RF0000289,PR0000565,7-day no-reason return (primary option),5,pending,203.55,2024-06-19 10:43:05
RF0000290,PR0000556,7-day no-reason return (primary option),1,pending,11.96,2024-06-21 10:14:10
RF0000291,PR0000349,Item not as described,1,pending,83.82,2024-06-18 14:51:13
RF0000292,PR0000469,7-day no-reason return (primary option),1,pending,11.96,2024-06-20 12:00:41
RF0000293,PR0000433,Wrong/incorrect order fulfillment,1,pending,3.58,2024-06-29 17:57:00
RF0000294,PR0000464,7-day no-reason return (primary option),2,pending,119.74,2024-06-30 11:53:58
RF0000295,PR0000333,7-day no-reason return (primary option),2,pending,152.46,2024-06-25 00:25:43
RF0000296,PR0000369,Item not as described,2,pending,47.3,2024-06-25 23:48:10
RF0000297,PR0000313,Wrong/incorrect order fulfillment,2,pending,7.64,2024-06-21 06:48:09
RF0000298,PR0000447,7-day no-reason return (primary option),1,pending,140.93,2024-06-26 00:20:09
RF0000299,PR0000463,7-day no-reason return (primary option),1,pending,9.57,2024-06-28 18:49:06
RF0000300,PR0000426,7-day no-reason return (primary option),1,pending,3.57,2024-06-21 15:58:07
RF0000301,PR0000435,Product quality issues,3,pending,20.67,2024-06-23 20:09:50
RF0000302,PR0000624,7-day no-reason return (primary option),1,pending,19.15,2024-06-28 12:39:38
RF0000303,PR0000518,Item not as described,1,pending,23.89,2024-06-18 00:06:06
RF0000304,PR0000487,Product quality issues,1,pending,43.05,2024-06-17 01:03:11
RF0000305,PR0000614,Other personal reasons,1,pending,31.13,2024-06-27 21:27:05
