moderation_id,admin_id,product_id,action_type,reason,action_time
PM0000089,A03612,P0168633,approve,,2024-03-18 03:41:29
PM0000090,A00876,P0373391,approve,,2024-03-15 03:11:16
PM0000091,A00530,P0268754,approve,,2024-03-12 06:49:31
PM0000092,A04220,P0030916,approve,,2024-03-19 23:19:23
PM0000093,A05272,P0090059,approve,,2024-03-25 20:48:47
PM0000094,A01039,P0152958,approve,,2024-03-13 09:46:29
PM0000095,A00497,P0020984,approve,,2024-03-29 20:55:10
PM0000096,A04658,P0199331,approve,,2024-03-23 11:29:17
PM0000097,A03286,P0164776,approve,,2024-03-24 03:15:01
PM0000098,A03474,P0019970,approve,,2024-03-13 12:38:32
PM0000099,A04143,P0119073,approve,,2024-03-22 21:27:01
PM0000100,A00587,P0279362,approve,,2024-03-28 08:37:27
PM0000101,A03819,P0316705,approve,,2024-03-26 08:17:35
PM0000102,A04583,P0107682,approve,,2024-03-22 03:09:35
PM0000103,A02103,P0004348,approve,,2024-03-25 17:52:44
PM0000104,A03722,P0194456,approve,,2024-03-22 16:36:04
PM0000105,A00426,P0019566,approve,,2024-03-16 06:48:43
PM0000106,A05413,P0314969,approve,,2024-03-15 15:51:18
PM0000107,A05413,P0280504,approve,,2024-03-23 12:10:45
PM0000108,A02828,P0362115,approve,,2024-03-12 15:51:56
PM0000109,A02012,P0259231,approve,,2024-03-28 06:04:48
PM0000110,A03446,P0367801,approve,,2024-03-27 04:22:50
PM0000111,A01377,P0228814,approve,,2024-03-16 17:59:18
PM0000112,A03736,P0146247,approve,,2024-03-14 16:15:22
PM0000113,A02573,P0316758,approve,,2024-03-15 17:51:40
PM0000114,A02224,P0177825,approve,,2024-03-31 21:15:04
PM0000115,A04620,P0210450,approve,,2024-03-11 11:03:58
PM0000116,A00350,P0340354,approve,,2024-03-19 21:17:56
PM0000117,A03941,P0312264,approve,,2024-03-12 20:46:59
PM0000118,A00247,P0209456,approve,,2024-03-13 15:41:27
PM0000119,A01766,P0030914,approve,,2024-03-16 13:40:05
PM0000120,A04007,P0360239,approve,,2024-03-26 14:34:16
PM0000121,A01419,P0237563,approve,,2024-03-30 22:32:34
PM0000122,A02938,P0118393,approve,,2024-03-12 19:57:59
PM0000123,A01318,P0093567,approve,,2024-03-23 13:52:43
PM0000124,A00011,P0126274,approve,,2024-03-28 13:35:05
PM0000125,A00532,P0223965,approve,,2024-03-18 04:42:59
PM0000126,A05465,P0043016,approve,,2024-03-31 16:02:38
PM0000127,A04136,P0335157,approve,,2024-03-21 08:11:45
PM0000128,A01857,P0196628,approve,,2024-03-24 20:12:27
PM0000129,A02880,P0194961,approve,,2024-03-15 10:04:27
PM0000130,A00253,P0141348,approve,,2024-03-18 12:05:15
PM0000131,A02857,P0058956,approve,,2024-03-22 01:44:57
PM0000132,A04383,P0325534,approve,,2024-03-24 15:45:46
PM0000133,A04947,P0023876,approve,,2024-03-31 12:46:05
PM0000134,A04387,P0152187,approve,,2024-03-28 23:30:05
PM0000135,A02467,P0063390,approve,,2024-03-24 23:21:51
PM0000136,A02514,P0364137,approve,,2024-03-21 22:55:22
PM0000137,A00172,P0064396,approve,,2024-03-30 04:10:34
PM0000138,A00884,P0047011,approve,,2024-03-29 05:50:14
PM0000139,A01712,P0087255,approve,,2024-03-13 17:45:25
PM0000140,A00135,P0245644,approve,,2024-03-31 00:09:14
PM0000141,A02233,P0158738,approve,,2024-03-28 06:40:43
PM0000142,A05265,P0153044,approve,,2024-03-29 05:23:53
PM0000143,A02434,P0279262,approve,,2024-03-21 21:46:21
PM0000144,A00316,P0051110,approve,,2024-03-24 23:46:44
PM0000145,A04031,P0108008,approve,,2024-03-12 06:13:33
PM0000146,A00394,P0379648,approve,,2024-03-17 20:27:26
PM0000147,A04628,P0316752,approve,,2024-03-23 18:55:51
PM0000148,A04345,P0335728,approve,,2024-03-22 00:29:01
PM0000149,A02060,P0052428,approve,,2024-03-15 22:19:36
PM0000150,A00668,P0044882,approve,,2024-03-24 11:37:34
PM0000151,A00316,P0293199,approve,,2024-03-15 15:17:49
PM0000152,A04000,P0107672,approve,,2024-03-22 17:29:24
PM0000153,A03709,P0147215,approve,,2024-03-11 05:35:19
PM0000154,A03540,P0164800,approve,,2024-03-13 11:53:42
PM0000155,A02008,P0238172,approve,,2024-03-30 10:19:16
PM0000156,A03856,P0158089,approve,,2024-03-12 10:04:39
PM0000157,A03787,P0275869,approve,,2024-03-13 01:44:49
PM0000158,A01462,P0220219,approve,,2024-03-13 09:44:19
PM0000159,A02895,P0058647,approve,,2024-03-19 20:46:04
PM0000160,A01458,P0263967,approve,,2024-03-19 13:51:34
PM0000161,A00706,P0070867,approve,,2024-03-21 18:02:07
PM0000162,A04495,P0050262,approve,,2024-03-15 05:01:50
PM0000163,A01362,P0169860,approve,,2024-03-27 17:00:03
PM0000164,A00670,P0209652,approve,,2024-03-22 19:56:13
PM0000165,A01983,P0097238,approve,,2024-03-24 11:37:01
PM0000166,A02683,P0346083,approve,,2024-03-31 11:22:59
PM0000167,A03282,P0109906,approve,,2024-03-30 18:18:13
PM0000168,A02609,P0211977,approve,,2024-03-29 05:36:23
PM0000169,A01633,P0308673,approve,,2024-03-25 03:07:20
PM0000170,A02546,P0021284,approve,,2024-03-31 23:18:32
PM0000171,A01122,P0287074,approve,,2024-03-23 23:00:27
PM0000172,A04591,P0323909,approve,,2024-03-24 02:57:20
PM0000173,A02779,P0082639,approve,,2024-03-15 16:24:06
PM0000174,A02654,P0007808,approve,,2024-03-14 20:57:00
PM0000175,A02570,P0010304,approve,,2024-03-19 03:46:42
PM0000176,A02008,P0233509,approve,,2024-03-17 14:02:16
PM0000177,A01775,P0169950,approve,,2024-03-30 20:48:45
PM0000178,A03065,P0137511,approve,,2024-03-14 12:00:23
PM0000179,A04390,P0304252,approve,,2024-03-20 12:58:01
PM0000180,A00834,P0050488,approve,,2024-03-21 14:00:08
PM0000181,A04704,P0122920,approve,,2024-03-24 22:38:59
PM0000182,A02720,P0331493,approve,,2024-03-16 04:52:32
PM0000183,A01073,P0279258,approve,,2024-03-29 09:50:44
PM0000184,A04606,P0287978,approve,,2024-03-21 23:43:38
PM0000185,A02621,P0008664,approve,,2024-03-30 18:15:56
PM0000186,A01317,P0254958,approve,,2024-03-29 05:11:25
PM0000187,A03066,P0308801,approve,,2024-03-27 01:53:27
PM0000188,A02597,P0018976,approve,,2024-03-20 16:18:01
PM0000189,A01057,P0279414,approve,,2024-03-14 19:57:30
PM0000190,A01903,P0120738,approve,,2024-03-26 21:44:41
PM0000191,A04570,P0279693,approve,,2024-03-24 10:01:18
PM0000192,A01208,P0336053,approve,,2024-03-23 17:47:50
PM0000193,A02730,P0194358,approve,,2024-03-24 18:32:16
PM0000194,A04087,P0109154,approve,,2024-03-14 04:29:37
PM0000195,A00448,P0347745,approve,,2024-03-18 19:30:07
PM0000196,A01825,P0302612,approve,,2024-03-19 15:59:56
PM0000197,A01528,P0381501,approve,,2024-03-16 16:15:50
PM0000198,A01563,P0041402,approve,,2024-03-19 03:04:26
PM0000199,A03327,P0084441,approve,,2024-03-19 19:42:00
PM0000200,A03004,P0179118,approve,,2024-03-16 01:36:54
PM0000201,A01968,P0148438,approve,,2024-03-16 04:53:24
PM0000202,A00330,P0281729,approve,,2024-03-25 04:09:38
PM0000203,A01663,P0149717,approve,,2024-03-30 14:01:57
PM0000204,A03869,P0150966,approve,,2024-03-15 04:14:58
PM0000205,A02429,P0142883,approve,,2024-03-23 07:10:13
PM0000206,A00344,P0013852,approve,,2024-03-29 14:12:22
PM0000207,A05310,P0246281,approve,,2024-03-15 22:32:22
PM0000208,A04470,P0041285,approve,,2024-03-26 23:05:59
PM0000209,A00147,P0213802,approve,,2024-03-20 17:48:03
PM0000210,A00095,P0073290,approve,,2024-03-29 02:26:28
PM0000211,A00136,P0319791,approve,,2024-03-25 07:38:29
PM0000212,A03539,P0009945,approve,,2024-03-16 05:27:55
PM0000213,A04433,P0154651,approve,,2024-03-15 20:14:11
PM0000214,A02789,P0320327,approve,,2024-03-27 23:45:53
PM0000215,A03355,P0028194,approve,,2024-03-20 16:06:25
PM0000216,A03964,P0069431,approve,,2024-03-14 02:54:55
PM0000217,A02360,P0209548,approve,,2024-03-20 16:04:22
PM0000218,A02962,P0044090,approve,,2024-03-11 07:07:15
PM0000219,A03495,P0098747,approve,,2024-03-12 19:38:59
PM0000220,A02177,P0307194,approve,,2024-03-16 14:28:15
PM0000221,A01797,P0296921,approve,,2024-03-18 05:31:52
PM0000222,A00670,P0099036,approve,,2024-03-31 08:22:59
PM0000223,A00199,P0008752,approve,,2024-03-31 08:06:47
PM0000224,A00751,P0020208,approve,,2024-03-31 04:17:36
PM0000225,A04243,P0253373,approve,,2024-03-21 09:47:05
PM0000226,A01846,P0212411,approve,,2024-03-11 05:47:50
PM0000227,A01584,P0067291,approve,,2024-03-24 11:08:16
PM0000228,A01719,P0026218,approve,,2024-03-19 07:00:01
PM0000229,A02488,P0383174,approve,,2024-03-20 13:50:38
PM0000230,A03439,P0012308,approve,,2024-03-23 22:15:52
PM0000231,A00462,P0162262,approve,,2024-03-22 10:40:14
PM0000232,A02337,P0046300,approve,,2024-03-16 14:54:39
PM0000233,A01423,P0322819,approve,,2024-03-13 06:22:40
PM0000234,A01371,P0204700,approve,,2024-03-16 05:32:30
PM0000235,A01525,P0040870,approve,,2024-03-17 17:17:22
PM0000236,A02493,P0216703,approve,,2024-03-12 04:35:30
PM0000237,A01682,P0082698,approve,,2024-03-14 17:21:00
PM0000238,A01009,P0205678,approve,,2024-03-13 19:49:20
PM0000239,A02942,P0134081,approve,,2024-03-28 10:32:57
PM0000240,A04832,P0048954,approve,,2024-03-11 21:31:35
PM0000241,A01822,P0273643,approve,,2024-03-25 11:23:46
PM0000242,A00222,P0308567,approve,,2024-03-21 08:23:07
PM0000243,A02424,P0104824,approve,,2024-03-28 15:22:22
PM0000244,A03328,P0139395,approve,,2024-03-27 04:23:07
PM0000245,A00024,P0106237,approve,,2024-03-15 22:18:11
PM0000246,A03682,P0124852,approve,,2024-03-30 17:28:31
PM0000247,A01235,P0186395,approve,,2024-03-28 09:22:34
PM0000248,A02402,P0103931,approve,,2024-03-18 03:39:04
PM0000249,A00524,P0027292,approve,,2024-03-23 13:58:46
PM0000250,A02590,P0019813,approve,,2024-03-16 02:39:33
PM0000251,A05347,P0317986,approve,,2024-03-27 00:53:47
PM0000252,A00264,P0183687,approve,,2024-03-30 02:30:08
PM0000253,A03670,P0270126,approve,,2024-03-13 11:27:29
PM0000254,A00389,P0373492,approve,,2024-03-28 20:58:11
PM0000255,A05245,P0226035,approve,,2024-03-22 10:14:32
PM0000256,A02146,P0333566,approve,,2024-03-26 14:07:17
PM0000257,A02133,P0145903,approve,,2024-03-16 14:27:14
PM0000258,A04245,P0304678,approve,,2024-03-13 16:22:49
PM0000259,A02462,P0153126,approve,,2024-03-19 08:29:08
PM0000260,A04227,P0020164,approve,,2024-03-18 06:36:14
PM0000261,A02981,P0279771,approve,,2024-03-14 04:52:27
PM0000262,A03840,P0174952,approve,,2024-03-20 17:41:06
PM0000263,A00565,P0358080,approve,,2024-03-31 08:58:10
PM0000264,A02895,P0376526,approve,,2024-03-25 03:45:29
PM0000265,A04012,P0176695,approve,,2024-03-14 06:04:16
PM0000266,A04524,P0266413,approve,,2024-03-30 03:19:45
PM0000267,A00619,P0180427,approve,,2024-03-15 02:03:02
PM0000268,A04419,P0135272,approve,,2024-03-17 14:21:46
PM0000269,A00117,P0099369,approve,,2024-03-17 21:15:52
PM0000270,A02294,P0270234,approve,,2024-03-27 04:37:54
PM0000271,A03774,P0060694,approve,,2024-03-22 18:37:31
PM0000272,A02851,P0210057,approve,,2024-03-30 02:02:14
PM0000273,A00146,P0048795,approve,,2024-03-18 03:17:40
PM0000274,A04024,P0248348,approve,,2024-03-17 18:50:08
PM0000275,A01999,P0152488,approve,,2024-03-14 12:17:03
PM0000276,A03729,P0319191,approve,,2024-03-16 05:08:06
PM0000277,A02111,P0023870,approve,,2024-03-19 19:58:10
PM0000278,A01957,P0332628,approve,,2024-03-11 07:48:18
PM0000279,A04183,P0020378,approve,,2024-03-29 13:10:54
PM0000280,A00682,P0000146,approve,,2024-03-11 18:15:29
PM0000281,A04708,P0018359,approve,,2024-03-24 09:12:35
PM0000282,A00999,P0029472,approve,,2024-03-24 06:51:40
PM0000283,A03784,P0027356,approve,,2024-03-15 08:08:41
PM0000284,A02572,P0022271,approve,,2024-03-24 09:33:15
PM0000285,A05306,P0323062,approve,,2024-03-25 05:17:47
PM0000286,A01222,P0043958,approve,,2024-03-23 17:15:23
PM0000287,A04261,P0199994,approve,,2024-03-23 06:10:42
PM0000288,A04351,P0230433,approve,,2024-03-31 14:19:49
PM0000289,A05186,P0284680,approve,,2024-03-29 23:06:19
PM0000290,A03748,P0357838,approve,,2024-03-22 16:00:07
PM0000291,A00011,P0313141,approve,,2024-03-29 11:43:03
PM0000292,A02272,P0234993,approve,,2024-03-16 22:36:58
PM0000293,A04737,P0227013,approve,,2024-03-28 06:44:46
PM0000294,A04722,P0237241,approve,,2024-03-11 01:19:48
PM0000295,A04604,P0241934,approve,,2024-03-31 11:32:46
PM0000296,A02429,P0329386,approve,,2024-03-20 00:39:37
PM0000297,A02639,P0152321,approve,,2024-03-21 16:44:59
PM0000298,A03743,P0333856,approve,,2024-03-29 04:42:04
PM0000299,A00402,P0314014,approve,,2024-03-20 05:29:10
PM0000300,A03062,P0251403,approve,,2024-03-26 03:35:54
PM0000301,A00888,P0048435,approve,,2024-03-28 17:11:58
PM0000302,A01383,P0299854,approve,,2024-03-21 14:59:42
PM0000303,A01588,P0279309,approve,,2024-03-15 02:29:40
PM0000304,A02934,P0144499,approve,,2024-03-12 22:57:19
PM0000305,A01097,P0029912,approve,,2024-03-28 17:56:00
PM0000306,A04935,P0030010,approve,,2024-03-26 07:59:45
PM0000307,A02130,P0195720,approve,,2024-03-13 03:49:47
PM0000308,A05204,P0195776,approve,,2024-03-26 09:33:28
PM0000309,A03167,P0003621,approve,,2024-03-16 00:18:26
PM0000310,A04903,P0000131,approve,,2024-03-24 22:03:31
PM0000311,A03010,P0044907,approve,,2024-03-24 09:51:50
PM0000312,A01173,P0258919,approve,,2024-03-22 20:35:15
PM0000313,A00149,P0284564,approve,,2024-03-18 13:39:49
PM0000314,A01802,P0108094,approve,,2024-03-15 14:12:16
PM0000315,A00463,P0199449,approve,,2024-03-21 23:45:16
PM0000316,A00890,P0109590,approve,,2024-03-29 22:06:04
PM0000317,A00282,P0158737,approve,,2024-03-26 17:57:34
PM0000318,A03099,P0212530,approve,,2024-03-16 08:51:17
PM0000319,A00735,P0024964,approve,,2024-03-23 02:07:07
PM0000320,A03294,P0157118,approve,,2024-03-12 14:27:07
PM0000321,A03973,P0331211,approve,,2024-03-22 07:18:41
PM0000322,A00614,P0197783,approve,,2024-03-25 17:39:57
PM0000323,A04512,P0279673,approve,,2024-03-31 00:17:38
PM0000324,A01889,P0303202,approve,,2024-03-26 14:23:35
PM0000325,A01314,P0036590,approve,,2024-03-21 10:09:52
PM0000326,A04570,P0238156,approve,,2024-03-14 09:39:23
PM0000327,A02055,P0041417,approve,,2024-03-22 01:24:21
PM0000328,A04545,P0279632,approve,,2024-03-27 13:26:51
PM0000329,A03828,P0214616,approve,,2024-03-31 00:22:21
PM0000330,A05122,P0082868,approve,,2024-03-27 07:03:25
PM0000331,A01381,P0190871,approve,,2024-03-29 05:44:47
PM0000332,A05385,P0184002,approve,,2024-03-28 22:59:16
PM0000333,A03642,P0000021,approve,,2024-03-23 03:19:43
PM0000334,A04711,P0379231,approve,,2024-03-30 07:32:13
PM0000335,A02798,P0358795,approve,,2024-03-17 14:02:40
PM0000336,A00299,P0384127,approve,,2024-03-16 13:01:49
PM0000337,A01475,P0082970,approve,,2024-03-23 01:11:46
PM0000338,A04280,P0192543,approve,,2024-03-16 10:57:55
PM0000339,A02184,P0051404,approve,,2024-03-21 22:31:46
PM0000340,A02562,P0298257,approve,,2024-03-12 23:04:15
PM0000341,A03401,P0219773,approve,,2024-03-23 20:10:37
PM0000342,A00483,P0350283,approve,,2024-03-16 12:18:48
PM0000343,A02896,P0359021,approve,,2024-03-17 18:02:40
PM0000344,A01903,P0008988,approve,,2024-03-22 22:43:55
PM0000345,A05015,P0276659,approve,,2024-03-25 12:12:50
PM0000346,A05269,P0130071,approve,,2024-03-21 15:48:49
PM0000347,A02670,P0199655,approve,,2024-03-22 15:45:48
PM0000348,A04067,P0043680,approve,,2024-03-24 13:33:47
PM0000349,A00862,P0013855,approve,,2024-03-19 07:30:03
PM0000350,A03414,P0029762,approve,,2024-03-24 14:56:21
PM0000351,A00118,P0111779,approve,,2024-03-17 01:37:07
PM0000352,A00277,P0023636,approve,,2024-03-14 18:18:16
PM0000353,A04589,P0130273,approve,,2024-03-24 19:43:14
PM0000354,A03606,P0117954,approve,,2024-03-18 09:35:11
PM0000355,A04521,P0353445,approve,,2024-03-29 13:01:51
PM0000356,A04280,P0274148,approve,,2024-03-21 17:08:21
PM0000357,A04135,P0074032,approve,,2024-03-15 23:25:47
PM0000358,A05055,P0178702,approve,,2024-03-19 15:02:07
PM0000359,A03475,P0340929,approve,,2024-03-13 09:08:37
PM0000360,A00633,P0168715,approve,,2024-03-16 08:36:48
PM0000361,A00133,P0021125,approve,,2024-03-24 20:01:40
PM0000362,A00621,P0308613,approve,,2024-03-25 02:09:15
PM0000363,A00723,P0005805,approve,,2024-03-27 05:17:10
PM0000364,A00410,P0305252,approve,,2024-03-11 09:48:14
PM0000365,A03065,P0190669,approve,,2024-03-30 18:45:33
PM0000366,A02597,P0157054,approve,,2024-03-12 06:52:43
PM0000367,A04895,P0135917,approve,,2024-03-28 15:32:57
PM0000368,A02156,P0027447,approve,,2024-03-23 17:31:36
PM0000369,A01571,P0313888,approve,,2024-03-24 05:27:19
PM0000370,A02738,P0305008,approve,,2024-03-25 02:05:52
PM0000371,A03536,P0000106,approve,,2024-03-11 11:11:06
PM0000372,A00118,P0010500,approve,,2024-03-16 09:02:20
PM0000373,A03935,P0117345,approve,,2024-03-24 16:04:59
PM0000374,A03078,P0257307,approve,,2024-03-21 10:08:02
PM0000375,A04354,P0018880,approve,,2024-03-16 09:49:48
PM0000376,A01732,P0040856,approve,,2024-03-11 14:10:19
PM0000377,A01314,P0049075,approve,,2024-03-24 16:58:26
PM0000378,A03360,P0292248,approve,,2024-03-16 07:50:53
PM0000379,A05306,P0143735,approve,,2024-03-22 02:33:30
PM0000380,A00756,P0103066,approve,,2024-03-14 03:25:37
PM0000381,A02784,P0244853,approve,,2024-03-29 19:11:33
PM0000382,A05113,P0023386,approve,,2024-03-26 14:59:02
PM0000383,A04086,P0166862,approve,,2024-03-24 20:36:08
PM0000384,A05172,P0030427,approve,,2024-03-25 03:45:34
PM0000385,A02024,P0007748,approve,,2024-03-29 14:14:10
PM0000386,A03284,P0070862,approve,,2024-03-15 00:29:26
PM0000387,A00272,P0381692,approve,,2024-03-27 13:20:18
PM0000388,A04423,P0199536,approve,,2024-03-30 05:02:50
PM0000389,A02956,P0284466,approve,,2024-03-24 14:55:38
PM0000390,A04356,P0021391,approve,,2024-03-26 04:43:33
PM0000391,A05087,P0223458,approve,,2024-03-16 15:18:34
PM0000392,A02045,P0051005,approve,,2024-03-24 09:56:20
PM0000393,A00263,P0250196,approve,,2024-03-31 02:22:01
PM0000394,A02158,P0123799,approve,,2024-03-19 03:07:23
PM0000395,A02315,P0211985,approve,,2024-03-30 11:19:29
PM0000396,A05470,P0098110,approve,,2024-03-19 08:06:20
PM0000397,A02128,P0235848,approve,,2024-03-11 14:05:57
PM0000398,A01092,P0078206,approve,,2024-03-23 19:41:09
PM0000399,A01175,P0235742,approve,,2024-03-18 14:07:22
PM0000400,A01927,P0214620,approve,,2024-03-13 09:27:32
PM0000401,A02295,P0024529,approve,,2024-03-29 13:56:15
PM0000402,A04447,P0151364,approve,,2024-03-23 20:39:00
PM0000403,A03380,P0211673,approve,,2024-03-30 15:49:24
PM0000404,A00009,P0233496,approve,,2024-03-30 00:13:14
PM0000405,A00996,P0306401,approve,,2024-03-11 13:40:39
PM0000406,A01984,P0139362,approve,,2024-03-11 04:46:03
PM0000407,A01532,P0185565,approve,,2024-03-12 16:47:43
PM0000408,A03488,P0049413,approve,,2024-03-17 18:49:13
PM0000409,A00883,P0378918,approve,,2024-03-22 13:03:32
PM0000410,A03737,P0024209,approve,,2024-03-21 11:11:57
PM0000411,A01684,P0128503,approve,,2024-03-28 01:33:03
PM0000412,A03698,P0318977,approve,,2024-03-17 01:19:58
PM0000413,A04721,P0139948,approve,,2024-03-22 14:50:21
PM0000414,A00613,P0098731,approve,,2024-03-16 06:17:00
PM0000415,A00390,P0234162,approve,,2024-03-16 04:48:40
PM0000416,A04402,P0083168,approve,,2024-03-31 00:40:24
PM0000417,A00602,P0110415,approve,,2024-03-15 13:31:48
PM0000418,A04165,P0193228,approve,,2024-03-28 18:14:35
PM0000419,A01360,P0356480,approve,,2024-03-11 00:29:07
PM0000420,A05455,P0257029,approve,,2024-03-12 06:27:55
PM0000421,A00735,P0122965,approve,,2024-03-18 17:05:25
PM0000422,A00633,P0364491,approve,,2024-03-18 07:14:16
PM0000423,A04280,P0350173,approve,,2024-03-11 01:59:29
PM0000424,A01650,P0374905,approve,,2024-03-13 15:29:13
PM0000425,A01175,P0345245,approve,,2024-03-18 05:51:37
PM0000426,A02005,P0369797,approve,,2024-03-15 19:31:47
PM0000427,A02415,P0200498,approve,,2024-03-21 11:10:50
PM0000428,A04230,P0279118,approve,,2024-03-17 04:40:56
PM0000429,A00024,P0029992,approve,,2024-03-22 20:10:47
PM0000430,A02261,P0102280,approve,,2024-03-30 18:49:05
PM0000431,A01537,P0262995,approve,,2024-03-31 13:22:45
PM0000432,A02379,P0103438,approve,,2024-03-18 06:58:13
PM0000433,A04110,P0045508,approve,,2024-03-17 08:15:31
PM0000434,A03845,P0110131,approve,,2024-03-28 20:18:00
PM0000435,A00890,P0254462,approve,,2024-03-28 01:27:54
