action_id,refund_id,actor_customer_id,actor_seller_id,actor_admin_id,action_type,action_time
RA0000115,RF0000115,C04066,,,submit,2024-06-30 15:41:05
RA0000116,RF0000116,C03374,,,submit,2024-06-25 12:03:27
RA0000117,RF0000117,C00542,,,submit,2024-06-22 10:21:45
RA0000118,RF0000118,C06454,,,submit,2024-06-21 03:08:54
RA0000119,RF0000119,C03181,,,submit,2024-06-21 03:51:44
RA0000120,RF0000120,C04430,,,submit,2024-06-22 10:31:58
RA0000121,RF0000121,C00741,,,submit,2024-06-29 22:40:45
RA0000122,RF0000122,C06077,,,submit,2024-06-20 12:00:41
RA0000123,RF0000123,C02290,,,submit,2024-06-21 04:31:29
RA0000124,RF0000124,C02827,,,submit,2024-06-18 18:10:25
RA0000125,RF0000125,C02046,,,submit,2024-06-29 02:01:39
RA0000126,RF0000126,C04303,,,submit,2024-06-27 04:42:24
RA0000127,RF0000127,C01843,,,submit,2024-06-30 12:04:34
RA0000128,RF0000128,C00546,,,submit,2024-06-30 04:43:55
RA0000129,RF0000129,C02691,,,submit,2024-06-23 20:14:15
RA0000130,RF0000130,C03868,,,submit,2024-06-18 02:42:02
RA0000131,RF0000131,C00885,,,submit,2024-06-20 08:47:27
RA0000132,RF0000132,C03879,,,submit,2024-06-29 14:56:58
RA0000133,RF0000133,C00960,,,submit,2024-06-21 04:17:01
RA0000134,RF0000134,C00404,,,submit,2024-06-20 18:17:21
RA0000135,RF0000135,C05406,,,submit,2024-06-28 00:15:28
RA0000136,RF0000136,C05835,,,submit,2024-06-26 01:53:05
RA0000137,RF0000137,C02514,,,submit,2024-06-28 11:50:58
RA0000138,RF0000138,C04975,,,submit,2024-06-25 16:32:47
RA0000139,RF0000139,C05690,,,submit,2024-06-23 02:50:11
RA0000140,RF0000140,C00946,,,submit,2024-06-29 08:17:29
RA0000141,RF0000141,C00243,,,submit,2024-06-30 21:11:12
RA0000142,RF0000142,C04650,,,submit,2024-06-25 04:09:07
RA0000143,RF0000143,C04557,,,submit,2024-06-25 19:21:21
RA0000144,RF0000144,C00418,,,submit,2024-06-25 23:06:42
RA0000145,RF0000145,C00686,,,submit,2024-06-25 02:17:28
RA0000146,RF0000146,C05003,,,submit,2024-06-19 01:41:48
RA0000147,RF0000147,C03523,,,submit,2024-06-19 10:40:58
RA0000148,RF0000148,C04009,,,submit,2024-06-26 23:23:27
RA0000149,RF0000149,C05113,,,submit,2024-06-22 19:19:55
RA0000150,RF0000150,C00221,,,submit,2024-06-26 03:24:40
RA0000151,RF0000151,C01640,,,submit,2024-06-28 17:53:43
RA0000152,RF0000152,C05743,,,submit,2024-06-22 12:44:25
RA0000153,RF0000153,C01364,,,submit,2024-06-25 19:07:43
RA0000154,RF0000154,C05077,,,submit,2024-06-20 17:04:30
RA0000155,RF0000155,C04343,,,submit,2024-06-20 03:38:20
RA0000156,RF0000156,C00870,,,submit,2024-06-26 14:39:31
RA0000157,RF0000157,C02753,,,submit,2024-06-28 18:58:35
RA0000158,RF0000158,C00324,,,submit,2024-06-20 09:19:36
RA0000159,RF0000159,C05219,,,submit,2024-06-29 02:30:09
RA0000160,RF0000160,C02999,,,submit,2024-06-16 01:21:03
RA0000161,RF0000161,C00010,,,submit,2024-06-23 21:51:27
RA0000162,RF0000162,C00111,,,submit,2024-06-24 15:34:52
RA0000163,RF0000163,C04900,,,submit,2024-06-16 16:10:08
RA0000164,RF0000164,C06499,,,submit,2024-06-23 03:43:16
RA0000165,RF0000165,C04764,,,submit,2024-06-21 01:14:40
RA0000166,RF0000166,C03767,,,submit,2024-06-23 07:27:27
RA0000167,RF0000167,C04975,,,submit,2024-06-27 08:17:44
RA0000168,RF0000168,C00819,,,submit,2024-06-29 04:05:15
RA0000169,RF0000169,C01033,,,submit,2024-06-25 06:42:52
RA0000170,RF0000170,C06341,,,submit,2024-06-23 23:38:10
RA0000171,RF0000171,C05008,,,submit,2024-06-21 06:15:23
RA0000172,RF0000172,C04872,,,submit,2024-06-22 14:09:08
RA0000173,RF0000173,C04746,,,submit,2024-06-16 06:26:57
RA0000174,RF0000174,C04561,,,submit,2024-06-29 23:48:59
RA0000175,RF0000175,C04562,,,submit,2024-06-19 08:11:32
RA0000176,RF0000176,C00116,,,submit,2024-06-27 04:55:46
RA0000177,RF0000177,C04425,,,submit,2024-06-16 09:02:07
RA0000178,RF0000178,C01641,,,submit,2024-06-27 16:14:53
RA0000179,RF0000179,C01808,,,submit,2024-06-20 23:08:19
RA0000180,RF0000180,C06435,,,submit,2024-06-17 11:25:17
RA0000181,RF0000181,C02629,,,submit,2024-06-28 15:22:05
RA0000182,RF0000182,C01476,,,submit,2024-06-30 08:02:59
RA0000183,RF0000183,C02487,,,submit,2024-06-26 03:10:44
RA0000184,RF0000184,C05781,,,submit,2024-06-28 08:26:09
RA0000185,RF0000185,C06125,,,submit,2024-06-17 06:08:26
RA0000186,RF0000186,C02671,,,submit,2024-06-20 04:58:13
RA0000187,RF0000187,C01652,,,submit,2024-06-28 09:51:45
RA0000188,RF0000188,C01230,,,submit,2024-06-28 20:01:03
RA0000189,RF0000189,C02125,,,submit,2024-06-20 02:08:39
RA0000190,RF0000190,C04081,,,submit,2024-06-23 07:38:02
RA0000191,RF0000191,C04512,,,submit,2024-06-16 21:06:37
RA0000192,RF0000192,C00886,,,submit,2024-06-20 03:11:37
RA0000193,RF0000193,C00137,,,submit,2024-06-26 22:16:18
RA0000194,RF0000194,C00592,,,submit,2024-06-24 13:11:07
RA0000195,RF0000195,C02905,,,submit,2024-06-17 17:08:23
RA0000196,RF0000196,C00033,,,submit,2024-06-25 10:24:41
RA0000197,RF0000197,C04919,,,submit,2024-06-23 19:57:08
RA0000198,RF0000198,C03419,,,submit,2024-06-23 20:55:47
RA0000199,RF0000199,C05370,,,submit,2024-06-29 19:38:05
RA0000200,RF0000200,C01759,,,submit,2024-06-26 00:41:02
RA0000201,RF0000201,C04728,,,submit,2024-06-21 01:04:17
RA0000202,RF0000202,C04924,,,submit,2024-06-30 06:29:15
RA0000203,RF0000203,C04792,,,submit,2024-06-28 18:18:30
RA0000204,RF0000204,C02474,,,submit,2024-06-25 23:17:30
RA0000205,RF0000205,C00216,,,submit,2024-06-29 14:19:10
RA0000206,RF0000206,C02045,,,submit,2024-06-28 05:27:23
RA0000207,RF0000207,C01408,,,submit,2024-06-18 09:46:32
RA0000208,RF0000208,C05554,,,submit,2024-06-23 09:00:17
RA0000209,RF0000209,C01300,,,submit,2024-06-17 08:57:45
RA0000210,RF0000210,C04387,,,submit,2024-06-18 11:36:12
RA0000211,RF0000211,C04562,,,submit,2024-06-24 22:10:47
RA0000212,RF0000212,C04854,,,submit,2024-06-25 17:03:01
RA0000213,RF0000213,C06413,,,submit,2024-06-26 07:40:13
RA0000214,RF0000214,C05659,,,submit,2024-06-24 04:25:53
RA0000215,RF0000215,C02494,,,submit,2024-06-29 13:07:41
RA0000216,RF0000216,C00184,,,submit,2024-06-19 10:48:18
RA0000217,RF0000217,C03501,,,submit,2024-06-28 02:17:40
RA0000218,RF0000218,C04728,,,submit,2024-06-23 14:45:47
RA0000219,RF0000219,C00570,,,submit,2024-06-22 08:36:09
RA0000220,RF0000220,C02653,,,submit,2024-06-26 00:45:56
RA0000221,RF0000221,C03207,,,submit,2024-06-18 17:08:40
RA0000222,RF0000222,C04507,,,submit,2024-06-28 20:51:39
RA0000223,RF0000223,C04707,,,submit,2024-06-24 11:03:16
RA0000224,RF0000224,C06286,,,submit,2024-06-25 20:09:05
RA0000225,RF0000225,C03020,,,submit,2024-06-25 20:56:34
RA0000226,RF0000226,C05990,,,submit,2024-06-22 15:41:16
RA0000227,RF0000227,C04541,,,submit,2024-06-21 10:38:21
RA0000228,RF0000228,C03333,,,submit,2024-06-30 14:52:39
RA0000229,RF0000229,C05244,,,submit,2024-06-30 17:29:37
RA0000230,RF0000230,C05354,,,submit,2024-06-20 14:52:56
RA0000231,RF0000231,C03112,,,submit,2024-06-23 14:58:47
RA0000232,RF0000232,C00472,,,submit,2024-06-21 21:10:23
RA0000233,RF0000233,C01887,,,submit,2024-06-24 04:39:30
RA0000234,RF0000234,C03478,,,submit,2024-06-22 16:55:03
RA0000235,RF0000235,C05538,,,submit,2024-06-18 01:53:14
RA0000236,RF0000236,C00551,,,submit,2024-06-30 11:18:26
RA0000237,RF0000237,C05479,,,submit,2024-06-23 07:41:55
RA0000238,RF0000238,C01963,,,submit,2024-06-17 03:14:27
RA0000239,RF0000239,C00462,,,submit,2024-06-24 16:20:40
RA0000240,RF0000240,C05444,,,submit,2024-06-28 15:44:09
RA0000241,RF0000241,C00422,,,submit,2024-06-16 22:47:46
RA0000242,RF0000242,C05851,,,submit,2024-06-24 23:12:48
RA0000243,RF0000243,C00138,,,submit,2024-06-19 11:07:48
RA0000244,RF0000244,C02011,,,submit,2024-06-20 04:52:29
RA0000245,RF0000245,C06191,,,submit,2024-06-28 14:12:54
RA0000246,RF0000246,C05994,,,submit,2024-06-16 00:12:29
RA0000247,RF0000247,C01424,,,submit,2024-06-22 04:38:22
RA0000248,RF0000248,C05609,,,submit,2024-06-21 23:30:17
RA0000249,RF0000249,C02608,,,submit,2024-06-29 10:42:13
RA0000250,RF0000250,C06450,,,submit,2024-06-29 21:37:53
RA0000251,RF0000251,C01617,,,submit,2024-06-20 19:40:53
RA0000252,RF0000252,C04977,,,submit,2024-06-27 06:41:31
RA0000253,RF0000253,C06035,,,submit,2024-06-22 11:46:09
RA0000254,RF0000254,C02129,,,submit,2024-06-19 01:38:20
RA0000255,RF0000255,C06023,,,submit,2024-06-23 11:00:08
RA0000256,RF0000256,C02576,,,submit,2024-06-18 12:39:29
RA0000257,RF0000257,C00218,,,submit,2024-06-29 05:42:54
RA0000258,RF0000258,C00786,,,submit,2024-06-24 19:45:44
RA0000259,RF0000259,C00899,,,submit,2024-06-18 06:40:53
RA0000260,RF0000260,C05089,,,submit,2024-06-20 17:54:37
RA0000261,RF0000261,C03637,,,submit,2024-06-20 05:01:28
RA0000262,RF0000262,C06017,,,submit,2024-06-23 01:08:58
RA0000263,RF0000263,C04517,,,submit,2024-06-30 13:57:18
RA0000264,RF0000264,C03287,,,submit,2024-06-28 01:44:21
RA0000265,RF0000265,C05482,,,submit,2024-06-27 04:49:11
RA0000266,RF0000266,C06225,,,submit,2024-06-26 07:20:51
RA0000267,RF0000267,C03911,,,submit,2024-06-16 12:16:33
RA0000268,RF0000268,C05984,,,submit,2024-06-22 08:55:23
RA0000269,RF0000269,C00375,,,submit,2024-06-26 00:12:10
RA0000270,RF0000270,C02400,,,submit,2024-06-24 18:39:36
RA0000271,RF0000271,C02201,,,submit,2024-06-18 06:14:12
RA0000272,RF0000272,C05212,,,submit,2024-06-29 10:55:01
RA0000273,RF0000273,C05458,,,submit,2024-06-16 03:14:17
RA0000274,RF0000274,C02474,,,submit,2024-06-26 11:29:08
RA0000275,RF0000275,C05041,,,submit,2024-06-22 04:49:51
RA0000276,RF0000276,C03704,,,submit,2024-06-25 12:24:59
RA0000277,RF0000277,C00508,,,submit,2024-06-17 18:36:37
RA0000278,RF0000278,C04797,,,submit,2024-06-28 16:24:22
RA0000279,RF0000279,C02866,,,submit,2024-06-23 10:11:06
RA0000280,RF0000280,C02969,,,submit,2024-06-19 04:02:42
RA0000281,RF0000281,C06050,,,submit,2024-06-19 15:08:17
RA0000282,RF0000282,C01328,,,submit,2024-06-29 16:50:43
RA0000283,RF0000283,C03265,,,submit,2024-06-22 03:29:16
RA0000284,RF0000284,C05690,,,submit,2024-06-21 14:15:04
RA0000285,RF0000285,C03018,,,submit,2024-06-23 05:45:18
RA0000286,RF0000286,C03263,,,submit,2024-06-18 03:06:24
RA0000287,RF0000287,C05475,,,submit,2024-06-17 09:22:01
RA0000288,RF0000288,C05154,,,submit,2024-06-19 07:25:44
RA0000289,RF0000289,C04870,,,submit,2024-06-19 10:43:05
RA0000290,RF0000290,C02112,,,submit,2024-06-21 10:14:10
RA0000291,RF0000291,C06030,,,submit,2024-06-18 14:51:13
RA0000292,RF0000292,C04104,,,submit,2024-06-20 12:00:41
RA0000293,RF0000293,C02470,,,submit,2024-06-29 17:57:00
RA0000294,RF0000294,C01930,,,submit,2024-06-30 11:53:58
RA0000295,RF0000295,C03595,,,submit,2024-06-25 00:25:43
RA0000296,RF0000296,C03484,,,submit,2024-06-25 23:48:10
RA0000297,RF0000297,C02891,,,submit,2024-06-21 06:48:09
RA0000298,RF0000298,C02909,,,submit,2024-06-26 00:20:09
RA0000299,RF0000299,C02286,,,submit,2024-06-28 18:49:06
RA0000300,RF0000300,C05507,,,submit,2024-06-21 15:58:07
RA0000301,RF0000301,C04920,,,submit,2024-06-23 20:09:50
RA0000302,RF0000302,C05523,,,submit,2024-06-28 12:39:38
RA0000303,RF0000303,C00684,,,submit,2024-06-18 00:06:06
RA0000304,RF0000304,C02964,,,submit,2024-06-17 01:03:11
RA0000305,RF0000305,C05862,,,submit,2024-06-27 21:27:05
RA0000306,RF0000306,C01003,,,submit,2024-06-21 19:25:39
RA0000307,RF0000307,C06254,,,submit,2024-06-30 21:04:10
RA0000308,RF0000308,C02615,,,submit,2024-06-29 15:45:04
RA0000309,RF0000309,C00711,,,submit,2024-06-16 02:52:58
RA0000310,RF0000310,C02880,,,submit,2024-06-22 12:22:46
RA0000311,RF0000311,C05171,,,submit,2024-06-28 07:52:35
RA0000312,RF0000312,C01456,,,submit,2024-06-23 04:51:47
RA0000313,RF0000313,C03888,,,submit,2024-06-18 14:01:44
RA0000314,RF0000314,C03046,,,submit,2024-06-23 15:37:44
RA0000315,RF0000315,C01727,,,submit,2024-06-27 11:00:15
RA0000316,RF0000316,C01241,,,submit,2024-06-18 09:39:39
RA0000317,RF0000317,C06446,,,submit,2024-06-19 03:27:51
RA0000318,RF0000318,C02052,,,submit,2024-06-29 01:08:05
RA0000319,RF0000319,C00180,,,submit,2024-06-27 20:54:12
RA0000320,RF0000320,C03731,,,submit,2024-06-26 15:46:31
RA0000321,RF0000321,C02957,,,submit,2024-06-16 08:47:11
RA0000322,RF0000322,C03631,,,submit,2024-06-22 16:10:50
RA0000323,RF0000323,C00437,,,submit,2024-06-19 07:59:01
RA0000324,RF0000324,C06273,,,submit,2024-06-23 23:34:39
RA0000325,RF0000325,C00794,,,submit,2024-06-26 09:52:44
RA0000326,RF0000326,C06386,,,submit,2024-06-18 06:53:11
RA0000327,RF0000327,C00156,,,submit,2024-06-29 20:09:40
RA0000328,RF0000328,C03284,,,submit,2024-06-23 11:53:07
RA0000329,RF0000329,C01798,,,submit,2024-06-28 13:58:09
RA0000330,RF0000330,C03928,,,submit,2024-06-20 13:48:42
RA0000331,RF0000331,C06346,,,submit,2024-06-16 11:03:53
RA0000332,RF0000332,C02053,,,submit,2024-06-23 09:39:53
RA0000333,RF0000333,C05788,,,submit,2024-06-18 14:57:18
RA0000334,RF0000334,C01323,,,submit,2024-06-26 09:07:46
RA0000335,RF0000335,C02808,,,submit,2024-06-24 21:25:31
RA0000336,RF0000336,C02301,,,submit,2024-06-30 00:32:58
RA0000337,RF0000337,C02864,,,submit,2024-06-26 11:09:51
RA0000338,RF0000338,C04470,,,submit,2024-06-22 02:47:50
RA0000339,RF0000339,C05604,,,submit,2024-06-27 17:37:32
RA0000340,RF0000340,C00500,,,submit,2024-06-23 13:35:03
RA0000341,RF0000341,C01408,,,submit,2024-06-28 16:37:58
RA0000342,RF0000342,C04347,,,submit,2024-06-17 12:51:32
RA0000343,RF0000343,C02486,,,submit,2024-06-20 16:21:53
RA0000344,RF0000344,C00276,,,submit,2024-06-21 20:31:17
RA0000345,RF0000345,C02968,,,submit,2024-06-27 21:48:34
RA0000346,RF0000346,C03287,,,submit,2024-06-25 00:29:11
RA0000347,RF0000347,C05669,,,submit,2024-06-22 15:58:18
RA0000348,RF0000348,C02857,,,submit,2024-06-26 09:03:59
RA0000349,RF0000349,C03098,,,submit,2024-06-26 12:18:41
RA0000350,RF0000350,C04640,,,submit,2024-06-19 07:27:33
RA0000351,RF0000351,C05187,,,submit,2024-06-19 04:31:32
RA0000352,RF0000352,C02637,,,submit,2024-06-21 20:32:09
RA0000353,RF0000353,C03951,,,submit,2024-06-22 02:49:50
RA0000354,RF0000354,C00166,,,submit,2024-06-20 03:04:07
RA0000355,RF0000355,C05332,,,submit,2024-06-30 01:52:04
RA0000356,RF0000356,C02232,,,submit,2024-06-20 04:54:32
RA0000357,RF0000357,C02196,,,submit,2024-06-22 05:17:34
RA0000358,RF0000358,C01229,,,submit,2024-06-22 09:21:50
RA0000359,RF0000359,C03771,,,submit,2024-06-23 10:14:22
RA0000360,RF0000360,C03383,,,submit,2024-06-16 11:27:12
RA0000361,RF0000361,C03261,,,submit,2024-06-29 21:49:54
RA0000362,RF0000362,C02508,,,submit,2024-06-17 03:47:24
RA0000363,RF0000363,C04442,,,submit,2024-06-16 02:44:53
RA0000364,RF0000364,C02859,,,submit,2024-06-20 12:51:12
RA0000365,RF0000365,C04401,,,submit,2024-06-30 22:56:18
RA0000366,RF0000366,C02775,,,submit,2024-06-30 22:21:46
RA0000367,RF0000367,C04242,,,submit,2024-06-16 06:00:50
RA0000368,RF0000368,C05154,,,submit,2024-06-19 12:02:17
RA0000369,RF0000369,C04166,,,submit,2024-06-22 04:56:57
RA0000370,RF0000370,C04921,,,submit,2024-06-19 15:56:06
RA0000371,RF0000371,C00431,,,submit,2024-06-17 17:04:13
RA0000372,RF0000372,C04570,,,submit,2024-06-19 08:23:44
RA0000373,RF0000373,C02642,,,submit,2024-06-29 11:21:04
RA0000374,RF0000374,C01569,,,submit,2024-06-16 16:40:53
RA0000375,RF0000375,C05219,,,submit,2024-06-26 01:59:20
RA0000376,RF0000376,C04525,,,submit,2024-06-21 13:53:14
RA0000377,RF0000377,C01621,,,submit,2024-06-18 03:24:45
RA0000378,RF0000378,C02149,,,submit,2024-06-16 10:30:59
RA0000379,RF0000379,C05128,,,submit,2024-06-19 21:33:11
RA0000380,RF0000380,C06149,,,submit,2024-06-21 18:23:36
RA0000381,RF0000381,C02782,,,submit,2024-06-28 19:45:22
RA0000382,RF0000382,C04095,,,submit,2024-06-18 23:02:54
RA0000383,RF0000383,C04982,,,submit,2024-06-30 03:54:57
RA0000384,RF0000384,C03153,,,submit,2024-06-19 04:55:36
RA0000385,RF0000385,C03308,,,submit,2024-06-16 07:12:53
RA0000386,RF0000386,C02196,,,submit,2024-06-20 02:17:27
RA0000387,RF0000387,C01962,,,submit,2024-06-19 18:34:46
RA0000388,RF0000388,C00686,,,submit,2024-06-26 01:51:55
RA0000389,RF0000389,C02996,,,submit,2024-06-19 11:03:38
RA0000390,RF0000390,C06084,,,submit,2024-06-30 15:33:17
RA0000391,RF0000391,C03764,,,submit,2024-06-30 12:35:14
RA0000392,RF0000392,C04648,,,submit,2024-06-19 03:25:17
RA0000393,RF0000393,C00357,,,submit,2024-06-16 01:25:09
RA0000394,RF0000394,C01242,,,submit,2024-06-16 22:58:25
RA0000395,RF0000395,C01318,,,submit,2024-06-18 15:06:26
RA0000396,RF0000396,C02508,,,submit,2024-06-16 06:55:21
RA0000397,RF0000397,C01195,,,submit,2024-06-29 18:00:46
RA0000398,RF0000398,C00585,,,submit,2024-06-18 03:28:47
RA0000399,RF0000399,C02225,,,submit,2024-06-26 09:10:38
RA0000400,RF0000400,C04622,,,submit,2024-06-17 01:47:37
RA0000401,RF0000401,C06032,,,submit,2024-06-22 10:30:32
RA0000402,RF0000402,C02925,,,submit,2024-06-30 16:43:16
RA0000403,RF0000403,C01247,,,submit,2024-06-23 12:12:39
RA0000404,RF0000404,C02642,,,submit,2024-06-21 23:30:21
RA0000405,RF0000405,C05882,,,submit,2024-06-23 05:54:56
RA0000406,RF0000406,C02751,,,submit,2024-06-24 03:37:56
RA0000407,RF0000407,C00981,,,submit,2024-06-20 14:08:40
RA0000408,RF0000408,C06332,,,submit,2024-06-25 07:33:36
RA0000409,RF0000409,C00587,,,submit,2024-06-18 03:04:04
